Runs,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,tau01,tau02,tau03,tau04,tau05,tau06,tau07,tau08,tau09,tau10,tau11,tau12,tau13,tau14,tau15,tau16,tau17,tau18,tau19,maxFreq,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,dn15,dn16,dn17,dn18,dn19,dtau01,dtau02,dtau03,dtau04,dtau05,dtau06,dtau07,dtau08,dtau09,dtau10,dtau11,dtau12,dtau13,dtau14,dtau15,dtau16,dtau17,dtau18,dtau19
1.0000000000000000e+00,1.6763060270313470e+00,1.5980856508877692e+00,1.7899365281804007e+00,1.8536182878698675e+00,1.6142833536263970e+00,1.7851181677118104e+00,1.6028532762960832e+00,1.8809449040626036e+00,1.4482230944532297e+00,1.6252587505597318e+00,1.6226858257227930e+00,1.8883568737616465e+00,1.7756222776898973e+00,1.7927332910197313e+00,1.6584170310323900e+00,1.6710335627904367e+00,1.8621340724953390e+00,1.7382572263821439e+00,1.9002954008140995e+00,7.2875770758481704e-04,7.6319946336922992e-04,7.6781724345478775e-04,6.9732986897411435e-04,7.1304876361692336e-04,7.5698861114815454e-04,6.5723464618099654e-04,7.1032088215594905e-04,6.8112676200135589e-04,7.6540504786257060e-04,6.9151350835408890e-04,6.9809243153738957e-04,7.0247088704528495e-04,7.9933820796618705e-04,7.4631502139343845e-04,7.7299749594349589e-04,7.2662754643847333e-04,7.0301649248651033e-04,7.2660317576139332e-04,1.8262236384452848e+00,1.0041172715524738e+00,5.0043035870750430e-01,1.7212367708907550e-01,2.0487247898159922e-02,8.2653393018716770e-02,3.3028137891299991e-01,9.4902731873069968e-01,1.2659059647202042e+00,1.4369977299200087e+00,9.0907065009027122e-01,9.0276522324295172e-01,4.4912830143850613e-01,9.0616761427853021e-02,7.6729969045175039e-03,1.9590835198535217e-01,4.7753653475979263e-01,1.0384762347825927e+00,1.4083474244586114e+00,1.3225445678610726e+00,-1.1800037065246016e+00,-8.0009522651636189e-01,-3.3997504989002891e-01,-2.8115121342153770e-03,-8.1016249042775712e-02,-6.0461323925231625e-01,-4.4229109130711208e-01,-1.4517682267456422e+00,-9.1458617101913831e-01,-1.7179380737974981e+00,-7.7589475111494721e-01,-5.0567972298409813e-01,-1.2313883224202016e-01,1.6860302043397724e-03,-2.2211984052056266e-01,-8.2665437517448481e-01,-1.2581933566124803e+00,-1.2063487684343954e+00,-1.6879064108632491e+00
2.0000000000000000e+00,1.7503486340057459e+00,1.7546807017827917e+00,1.7109025192781429e+00,1.7652895425192481e+00,1.7420442417797395e+00,1.7810562729724737e+00,1.9823764627380096e+00,1.8492005033862109e+00,1.7677225120021238e+00,1.5735940218778488e+00,1.6441768700495059e+00,1.7097342549705361e+00,1.8670709592195587e+00,1.7274923528339088e+00,1.5771130578895314e+00,1.5839100632658853e+00,1.6761834998582164e+00,1.4256925034471208e+00,1.6705694392021653e+00,7.2659112655878088e-04,7.4911239975674520e-04,6.7532519067006682e-04,7.3078869467535241e-04,7.6433062129725249e-04,7.5352122732439319e-04,7.3365110375079321e-04,7.4048682017115912e-04,7.5307500862500194e-04,7.5400457098364856e-04,7.3213484367927440e-04,7.2910139800413292e-04,7.3233604997943594e-04,7.3958468597821352e-04,7.3006867195894948e-04,7.8889885818287373e-04,7.5086693493296405e-04,7.5258960674717530e-04,7.0372565654119152e-04,-2.2578127676424211e+00,1.4382120063771708e+00,1.4593812762697667e+00,1.5812285663052705e+00,8.9598249886080339e-01,2.5760953681341903e-01,-1.9544268425875089e-02,-3.8204258423490955e-02,2.5429492467310411e-01,7.2415853447083123e-01,1.1422364041280275e+00,1.5061494855750368e+00,1.5050230630642147e+00,1.1692403680818586e+00,5.9974290111952655e-01,1.6694270232875397e-01,-6.5646943880892650e-02,7.6571721407958648e-02,4.4959747125261629e-01,1.0214460104407408e+00,-1.0081985681864580e+00,-1.7586022100779530e+00,-9.1712165728452533e-01,-1.4469272473505157e+00,-1.0087912665213139e+00,-3.5473920334538889e-01,6.8291253985108824e-02,9.7495291839777565e-02,-3.4328344655776277e-01,-8.5476812072826647e-01,-1.2022214228579742e+00,-1.5321351627406443e+00,-1.7050390006545513e+00,-1.1955042982236819e+00,-5.3042491376942280e-01,-6.7459588137808169e-02,1.0030575614550230e-01,-8.8132301900856191e-02,-2.3235033808077787e-01
3.0000000000000000e+00,1.6230371089605489e+00,1.4108580962025634e+00,1.8148704307000465e+00,1.5957753485693846e+00,1.8979765095005112e+00,1.5618436400985947e+00,1.7636067232838428e+00,1.6193154815733681e+00,1.8726139853218049e+00,1.9828679845626573e+00,1.7402478618600998e+00,1.7398737397715354e+00,1.7230736418492574e+00,1.9459837957757560e+00,1.7359666749554763e+00,1.6285722794390454e+00,1.7475849443642681e+00,1.4366446619770217e+00,1.6948282296668962e+00,7.5919180207998770e-04,7.7219042784510382e-04,7.7406092348281488e-04,6.8004262551672940e-04,7.5834486956470072e-04,7.3697919907073561e-04,7.3011703689616111e-04,7.8567539077999235e-04,7.2311886420929595e-04,7.3510867160278299e-04,7.7667172017595635e-04,7.4078023936994251e-04,7.3203047931239711e-04,7.3588744958818576e-04,7.0067589348879271e-04,7.4603904455573041e-04,7.5986943643425813e-04,7.4370817454378745e-04,7.1476880188475614e-04,-1.0101847169534791e+01,1.8355109574486050e+00,1.4510472770012939e+00,1.0456648400491986e+00,4.2350414197755981e-01,3.2503159275165672e-02,-3.5015135679827836e-02,3.8300500548871241e-01,7.2676829176998581e-01,1.6693738285056270e+00,1.9981654482137401e+00,1.6122097985515893e+00,1.3371592739730431e+00,6.9893648380059403e-01,1.8390921852073916e-01,-3.7807671660061715e-02,1.7690866194186583e-01,6.6003203080811090e-01,1.2894288907716600e+00,1.9793987089400389e+00,-1.4543856057258608e+00,-9.5632989882687980e-01,-6.1670359308152456e-01,2.8205138136172536e-01,1.4538726311741357e-01,-1.5033158540234126e-01,-6.3071162870187436e-01,-1.3485746759300810e+00,-1.3146236153005475e+00,-1.5395262504824814e+00,-1.5472867680443869e+00,-5.0269317597440022e-01,2.6224034499477966e-02,1.9694182640250801e-01,-3.5819258670244380e-03,-4.0919973898212447e-01,-1.0877182816670938e+00,-1.1155077856983553e+00,-1.0857454668666833e+00
4.0000000000000000e+00,1.7281425051220949e+00,1.6555733658254366e+00,1.8504328994274295e+00,1.4950119358046465e+00,1.9329071260874591e+00,1.7776039451706820e+00,1.6045846759338986e+00,1.7919428821896159e+00,1.6865187578377259e+00,1.7430034022930561e+00,1.6123697957262069e+00,1.5918944605386673e+00,1.4008750593901866e+00,1.8981625965660041e+00,1.4729042546803270e+00,1.9207502539272814e+00,1.8164314858385997e+00,1.8140770304216731e+00,1.7559231417682353e+00,7.2512451608302869e-04,6.8284690526679227e-04,7.9600118910592651e-04,7.8075615854415986e-04,7.7074872413269361e-04,7.5722029218375155e-04,8.5850328013162443e-04,7.7126454278393869e-04,7.5694898149743857e-04,6.8955804144987180e-04,6.3728480382112859e-04,7.4094895127971370e-04,7.7421166696422931e-04,7.5191413433194272e-04,7.0902106046241437e-04,7.0312818629327185e-04,7.2037261388275056e-04,7.4803156439493315e-04,7.0506409918580360e-04,-4.5840065677881974e+00,1.4797871710214849e+00,1.5408310867215391e+00,8.0807762969925534e-01,4.8350323300638820e-01,1.4158115480000788e-01,-6.2192524907800362e-02,-1.5344725046162466e-01,3.0665825700992855e-01,8.3918544824257424e-01,1.6635289439292933e+00,1.8020695682352539e+00,1.2573398402437874e+00,7.3427835456385537e-01,3.6464724129103843e-01,5.8127715973910199e-03,-1.0325025279200872e-02,2.7359512788649454e-01,6.3008950235143857e-01,1.3353462930965065e+00,-1.6992125315695716e+00,-7.1056228367893937e-01,-1.3764566499929742e+00,-3.2733541921459164e-01,6.6859993097523329e-02,-2.9724087191596027e-02,-4.5528234871028417e-01,-1.4364296951896449e+00,-1.9156020174548871e+00,-1.3870758266421035e+00,-2.6907678574161764e-01,-1.1161455404362641e+00,-5.9740176450162608e-01,-8.6300278034912026e-02,7.7348604854421410e-02,-2.5976947970463016e-01,-8.4553550916410813e-01,-1.6292261530992391e+00,-1.5487643700851095e+00
5.0000000000000000e+00,1.7994620080196131e+00,1.6318294200863064e+00,1.9980568078167895e+00,1.4467869185989222e+00,1.5909887894883301e+00,1.7663539462874422e+00,1.7822211796174585e+00,1.6052861069683497e+00,1.7225230388231492e+00,1.4927921591163500e+00,1.7814809328293997e+00,1.7257097531617096e+00,1.6196412264246940e+00,1.9988036856456664e+00,1.7850186036571838e+00,2.2401974798278119e+00,1.7921319408668506e+00,1.9616019307529753e+00,1.6574844363011729e+00,7.0927136278479800e-04,7.1439438315314791e-04,7.1348295749033472e-04,7.4526541829036941e-04,6.9690204192564796e-04,7.4462305813994200e-04,7.1045417194269707e-04,7.3351494515322294e-04,7.0673713508850292e-04,7.4384467553957536e-04,7.3772162883860770e-04,6.6271463876694788e-04,7.7230577494878964e-04,7.6050605447120683e-04,7.5367284931662586e-04,7.1853607978408004e-04,6.5182996193231737e-04,7.6453843469986567e-04,7.7479522004995124e-04,-5.8116515662024049e-01,1.4555170858576716e+00,1.5221115616803615e+00,1.3966794010222827e+00,8.0374305833075255e-01,3.5625463079558273e-01,2.4824129640776960e-02,-2.5080752363848546e-02,2.1009027995066987e-01,7.7726701253055808e-01,1.0445227471844731e+00,1.4127718641621101e+00,1.6031482086287241e+00,9.5300768077066778e-01,6.1141516383145245e-01,1.8156240000344326e-01,-5.0581422383899621e-02,1.5637891126463188e-01,3.1124395993842313e-01,6.6107349971922247e-01,-1.4816407222228989e+00,-1.1784384895685562e+00,-9.4937150740825871e-01,-4.1156292918120840e-01,1.0070981171228510e-01,1.0041345011035929e-01,-1.8623727660038725e-01,-6.4499438001686116e-01,-1.1062485359980556e+00,-1.4480606720379541e+00,-1.7727862634542291e+00,-3.7794271812163771e-01,-9.9644327489212259e-01,-4.2191778004685432e-01,6.1305621468221716e-02,4.1897487701447744e-03,-3.5168378653693821e-01,-1.2888076793560188e+00,-1.6780265362781321e+00
6.0000000000000000e+00,1.7140288787458042e+00,1.9109728090428475e+00,1.7896689295859725e+00,1.7163052142095823e+00,1.9170817562709972e+00,1.5363563941623277e+00,1.5970295796331340e+00,1.9806714059794299e+00,1.3838784320305284e+00,1.6331093154446052e+00,1.6820470048473615e+00,1.7566547112312683e+00,1.8909080103953317e+00,1.7456934834462843e+00,1.7334889296385054e+00,1.5012064822567315e+00,1.7655497761794710e+00,1.9961317574154489e+00,1.7863585077601158e+00,7.4507876949162280e-04,7.2382906245878884e-04,6.9434715641513811e-04,7.7297921390182662e-04,7.1996857755518269e-04,7.7726449196034242e-04,7.5765123439521637e-04,7.1296045956597545e-04,7.9959154537136362e-04,7.3094754031462900e-04,7.3533905062115506e-04,7.3120751462839046e-04,7.1308978143830087e-04,7.1255168430434687e-04,7.4880741445350167e-04,7.0440474466926457e-04,7.0678518253493230e-04,6.9321764945813342e-04,7.1835576209644688e-04,-1.8924557982200994e+00,1.5923187324240473e-01,-4.8106315819751444e-02,1.9826035480008386e-02,4.1355241608975746e-01,9.8429297534785576e-01,1.1631763787711691e+00,1.4015628533314839e+00,1.5738451430991063e+00,5.9132417495888490e-01,4.7282815529570144e-01,7.5407728949983266e-02,-3.5225504735336699e-02,1.7410658359473530e-01,6.3114020498744594e-01,1.0544202853068896e+00,1.4764667179978375e+00,1.5804919244466475e+00,1.3947409913672715e+00,7.2414960183841970e-01,-7.0745647717807003e-01,-1.8330793793985833e-01,1.3938861331830310e-01,-1.0795031779586850e-01,-3.2466499511052405e-01,-1.2331335190740589e+00,-1.5734366700659308e+00,-1.6046175481676528e+00,-1.3964569265390026e+00,-8.6659106246500528e-01,-3.7691121801408656e-01,2.8356907932902686e-03,1.0931439020644973e-01,-1.1993447790459300e-01,-9.0552998521786776e-01,-8.0234236632392708e-01,-1.3392214675000957e+00,-1.4317945515873731e+00,-1.2313084987169987e+00
7.0000000000000000e+00,1.9006927501491562e+00,1.5324181835434558e+00,1.5608162123627167e+00,1.9051777606203510e+00,1.9865214273245790e+00,1.4576929264000857e+00,1.7008834231050860e+00,1.5978979916380744e+00,1.8662637154881221e+00,1.9090019713370450e+00,1.2072021219297753e+00,1.6355444368587269e+00,1.8190667741272948e+00,1.9904051608935323e+00,1.6686991992697817e+00,1.6601486683798690e+00,1.7566078429685745e+00,1.8332027585878889e+00,1.7385168881256927e+00,7.4648214627864742e-04,7.1698903899190586e-04,7.3331416749501319e-04,7.4192155381311384e-04,7.3547104914221094e-04,7.4319091709966966e-04,7.5373736593314499e-04,7.2085004598199283e-04,7.8681599933488953e-04,7.3356707118234655e-04,7.3857025315101135e-04,7.1786118014612239e-04,7.3066014145417937e-04,7.5150277037373055e-04,7.0872276797753439e-04,7.3824221582729295e-04,6.7789014672155917e-04,7.5258302788689313e-04,8.1834332785809258e-04,-1.0899479601988144e+01,1.7309403901322185e+00,1.2360932970523208e+00,5.7623550908658672e-01,1.1425661661235154e-01,1.5917045459445944e-03,2.8169736765448761e-01,8.4260564747751232e-01,1.4997340311850849e+00,1.6355900207543073e+00,1.9731364204744750e+00,1.3962951257440182e+00,9.4334855127442552e-01,3.3721534364872241e-01,4.5532608794474072e-03,9.0559396426215244e-02,5.4484281086786268e-01,1.2276327350235761e+00,1.6776656526218403e+00,1.3598879124998575e+00,-1.6536469509276230e+00,-7.2353569713357047e-01,-5.2124453198132414e-01,-2.3185355324528700e-01,2.4104751972231497e-02,-4.8378835160178824e-02,-4.7988870655046867e-01,-5.6498944545069207e-01,-2.1499369360356013e+00,-1.4757877728754920e+00,-7.9467477931416397e-01,-6.4599732851888803e-01,-4.0864454575739728e-01,-7.7317046986991045e-02,4.9875344743099959e-02,-1.5667871267055489e-01,3.5048163482542805e-02,-1.3371466387468445e+00,-2.4531754458934074e+00
8.0000000000000000e+00,1.6825029415032582e+00,1.7156792995154100e+00,2.2321161758559027e+00,1.6266208307340948e+00,1.5398512579608055e+00,1.8327902073160460e+00,1.6233707599486344e+00,1.8451911827422203e+00,1.6029737357546350e+00,2.2045549508014730e+00,1.7444149265191664e+00,1.8404399590311000e+00,2.0209821493034674e+00,1.7577375642387232e+00,1.8865466683311325e+00,1.7849365496607108e+00,1.6033220914629105e+00,1.7671550685149877e+00,1.6495816196799142e+00,7.1708605099810605e-04,7.4557974099480969e-04,7.5962175985467238e-04,7.3462751908708274e-04,7.5492568558286222e-04,7.7447111862033620e-04,7.1050386521089015e-04,7.6767983427061251e-04,6.8542064467415819e-04,7.5591225266283236e-04,7.6588337830548229e-04,7.3917671097866280e-04,6.9541141076648620e-04,7.0309896437037575e-04,7.4397590612001595e-04,7.0632231935977301e-04,7.7960377896979386e-04,7.1713150500494257e-04,7.6174792200946174e-04,-3.0085875663854771e+00,4.9911564525828567e-01,8.0638383970210725e-02,-5.8939644276279068e-02,1.9215780300285701e-01,6.0561582992946228e-01,1.0519242228390624e+00,1.7040947177804355e+00,1.5505867669851625e+00,1.3629981556739779e+00,8.5691319373637498e-01,2.8350016245681786e-01,-3.5186725533264962e-02,7.2116967064772552e-02,5.0736005086093883e-01,9.6027030638268229e-01,1.6019905810793489e+00,1.4007251372127882e+00,1.5738309531165839e+00,1.0128708782808360e+00,1.1487093587447816e-01,1.3029854262214258e-01,-1.2231135526619141e-01,-5.2026764452151042e-01,-1.0062740516403323e+00,-1.8755627211319847e+00,-9.4095130043214681e-01,-1.5994127910978762e+00,1.8671149071280979e-02,-3.0374293702450927e-01,9.0482677794767596e-02,7.0998269929845037e-02,-3.7562735544227621e-01,-7.3666515909565078e-01,-1.5169881457666179e+00,-1.1312211123382099e+00,-1.6884407880723984e+00,-6.4809472499760545e-01,-5.3922615173007671e-01
9.0000000000000000e+00,1.8690976028657666e+00,1.8003961423819814e+00,1.7974323862194403e+00,1.7442494308997103e+00,1.8129183525094095e+00,1.8899528031053965e+00,1.7527343177601231e+00,1.5259289227915178e+00,1.7701692185677211e+00,1.6136192523643662e+00,2.0121962976962893e+00,1.9078796748364255e+00,1.6951768285475921e+00,1.8344061504853648e+00,1.8377734647822828e+00,1.9147612750022251e+00,2.0127028402090192e+00,1.6094607448065672e+00,1.8440435730569900e+00,7.3368836660238086e-04,7.2537975599947782e-04,7.2990480498372906e-04,7.4034348083845778e-04,7.3198694375525841e-04,6.4110317614019387e-04,7.0983580125370252e-04,7.1668869185807435e-04,8.1184720770147763e-04,7.3446991426047599e-04,7.1598942574610687e-04,7.4630399223591987e-04,7.3156961045268791e-04,7.0513944529213002e-04,6.9820847952442502e-04,7.0072423873056842e-04,7.6385624741704772e-04,7.1768879954178355e-04,7.3004690025602590e-04,2.9737922400952099e+00,1.5580192371800194e+00,1.3522021031775466e+00,8.7579098817514023e-01,3.6459676833189292e-01,1.6700192784213641e-02,3.5564222233830378e-02,3.1368601627335124e-01,7.8449159301996474e-01,7.9872414593396002e-01,1.5025644750643607e+00,1.6065129715414628e+00,1.1575524072604537e+00,6.2904419451115245e-01,1.5396413433066414e-01,-4.6466081649043645e-02,1.2115870484663560e-01,4.0105882348484556e-01,1.0333135249673830e+00,1.4397623200324006e+00,-1.1463881963713618e+00,-5.6697194317223421e-01,-1.7210459679617429e-01,7.3499951902533667e-02,1.0792076787780047e-01,-1.7368384730431785e-01,-5.5287854516805623e-01,-7.9217828252708955e-01,-1.9540627977931990e+00,-1.1146875449341564e+00,-7.7441304480174722e-01,-6.0243756205835552e-01,-8.7864844289242683e-03,1.9613810842145085e-01,-6.5140781657646585e-03,-3.8578307215431096e-01,-1.1266953658939372e+00,-9.3966148861923671e-01,-1.3041225721543981e+00
1.0000000000000000e+01,1.6208196104224875e+00,1.6630651805520613e+00,1.4480703168613884e+00,1.5981505748468612e+00,1.6252334902044159e+00,1.6973032893258748e+00,1.9467832381017751e+00,1.8020284237611552e+00,1.7659786794468495e+00,1.7796454483004793e+00,1.7537483417331972e+00,2.0175707835403518e+00,1.5625404024248792e+00,1.8308058369503619e+00,1.6253671998964079e+00,1.6573190781533744e+00,1.5232270267483299e+00,1.7845748814264191e+00,1.7684676726029942e+00,7.8717789602022830e-04,7.3683484634094938e-04,7.4382271269444545e-04,7.6486395555462757e-04,7.3934439728713956e-04,6.9799598005389348e-04,7.6193697145225084e-04,7.2458866943493313e-04,7.9074114786381816e-04,7.1312620996593344e-04,7.5384908464843292e-04,6.9138634435085783e-04,7.4167860427692620e-04,7.6499393233100846e-04,7.5609232827424978e-04,7.2851285256821032e-04,6.9318452766875917e-04,6.9454138869555406e-04,7.3416649709773219e-04,-9.5272157403406155e+00,9.6144741945636270e-01,1.5915287896461905e+00,1.7610543388002498e+00,1.5042271499510207e+00,1.2058078571186570e+00,7.6058157461034170e-01,2.5979096207606744e-02,-9.7182001113083061e-02,1.6917885048428616e-01,6.6624567729434148e-01,1.2679532268577987e+00,1.9229261365438788e+00,1.7069319344642508e+00,1.2459669918030158e+00,7.1892516473326395e-01,2.7700015969855940e-01,-3.7327275492771150e-02,-4.9503697141517478e-02,4.1194858546589330e-01,-5.0201923151860228e-01,-7.2209933144051774e-01,-1.2111148848248376e+00,-1.9681811647132008e+00,-1.6471398716078056e+00,-1.0575181175198622e+00,-7.8151304627738227e-01,-6.7663581404531215e-02,1.6991022633305874e-01,2.2744402095042915e-01,-6.2695520242073144e-01,-4.7645801082296657e-01,-1.5240429593887939e+00,-2.3333680427839454e+00,-1.5809594167137675e+00,-9.1039587957197909e-01,-2.7266349000854007e-01,1.6404113800660980e-01,2.5909966439030541e-01
