Runs,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,tau01,tau02,tau03,tau04,tau05,tau06,tau07,tau08,tau09,tau10,tau11,tau12,tau13,tau14,tau15,tau16,tau17,tau18,tau19,maxFreq,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,dn15,dn16,dn17,dn18,dn19,dtau01,dtau02,dtau03,dtau04,dtau05,dtau06,dtau07,dtau08,dtau09,dtau10,dtau11,dtau12,dtau13,dtau14,dtau15,dtau16,dtau17,dtau18,dtau19
1.0000000000000000e+00,5.0832791757083629e-01,5.0450951915057929e-01,4.9760080864231587e-01,5.7531913082441033e-01,4.9437873725162934e-01,5.5480890071292432e-01,4.6683121138585593e-01,5.2461081674828314e-01,4.1064178279543795e-01,5.2209167504145493e-01,4.8793798946040712e-01,4.3826600116230868e-01,4.4138661881633129e-01,4.8251508646760222e-01,4.7585261735600165e-01,5.4643967176292774e-01,4.7881203967338204e-01,5.0633236131347159e-01,4.7250658220521269e-01,5.9836213480618213e-04,6.3182383982634779e-04,6.1333543952752474e-04,5.9448433143926953e-04,5.9939305643596651e-04,6.4324687364741969e-04,5.9368196924422089e-04,6.3356833102161684e-04,6.0337684842066476e-04,7.2644403182767475e-04,6.6034336448194775e-04,5.9965784318416558e-04,6.8556209906228932e-04,6.3422675525208895e-04,5.9443017090038863e-04,6.5786965444305904e-04,6.1362751613691126e-04,6.4723510140388455e-04,6.1273180391733237e-04,-3.8237479622190718e-01,4.5062746312218849e-03,1.7913612149200731e-02,4.2328479277209397e-02,7.8292964889037364e-02,7.4192922361326907e-02,-9.5042198000605538e-03,4.1623147317704223e-02,-1.4436185524768774e-02,-6.5108721747364484e-03,-2.6369995076436226e-03,9.5456727522424956e-03,4.3552314976658124e-02,-2.3976626906119236e-02,2.7439095551251569e-02,8.0462310925177860e-02,-3.2611322309250568e-02,9.4033409947513746e-03,-1.9212562984982640e-02,-6.2724104243905288e-03,-2.4846166235548139e-03,-8.5060871457542930e-02,-2.2490446083267557e-01,-4.2272735295556529e-01,-4.5255945563260624e-01,-5.1892836772093887e-01,-3.2865635735124243e-01,-2.1810841199787490e-01,-5.4590403031351542e-02,3.0495685421350061e-03,-3.5830922340274185e-02,-1.2519788650244834e-01,-2.7576116623517777e-01,-4.2417450618614794e-01,-4.4152549849574285e-01,-4.6236000528221410e-01,-2.7426457932522297e-01,-1.3137834464771458e-01,-2.1340599010155614e-02
2.0000000000000000e+00,4.4770137154218709e-01,4.5957519625129895e-01,5.0077041305916981e-01,4.5752208434473485e-01,4.5807158052618063e-01,6.1955565613032981e-01,5.8688684408024228e-01,5.3216383977001502e-01,5.0501312052354064e-01,4.9429291584006146e-01,4.8171324188220171e-01,5.5961470538663660e-01,4.8887177608643140e-01,4.3704513962458957e-01,5.2327591990705480e-01,4.5240362406529266e-01,4.7961138624270361e-01,5.3967956552291907e-01,4.8115579372049594e-01,6.4623025631411395e-04,6.1845985111099930e-04,6.2786865956498505e-04,6.5098256213552697e-04,6.6815669830194041e-04,5.6537998026541514e-04,6.1639806149242334e-04,5.9891428185245845e-04,6.3672307833666263e-04,6.1551053954173734e-04,6.8013257469242945e-04,6.5880433206614501e-04,6.1187568581602930e-04,6.6667134278483673e-04,6.1727988639275920e-04,6.1629001373042643e-04,6.2678706020311567e-04,6.2648849077287223e-04,6.2944913675546375e-04,3.0136156221346733e-01,-1.0175009002022506e-02,-2.1923866055928443e-03,6.5099370893939579e-03,1.0142465589613181e-02,-7.2395726635754443e-03,1.1824790041581323e-01,4.9731430085131478e-02,6.2028995329033165e-02,-3.6445638729176721e-03,4.0190596406475265e-03,-1.1399271027112690e-02,1.0040506759345647e-03,1.6695048010717528e-02,9.6078484057571245e-04,4.7261040247992270e-02,5.1168466963513737e-02,2.8342573343831390e-02,1.5406071474100003e-02,5.3023341273217284e-04,-8.3683207252605030e-02,-7.3417679713472239e-03,-1.6715182793447525e-02,-1.0977316189375586e-01,-2.4797626296813036e-01,-4.6019730126634073e-01,-5.5745892590941537e-01,-4.5892153371918099e-01,-3.2221399859366784e-01,-1.6146517023418738e-01,-3.4825996031440098e-02,1.0958157714568983e-03,-5.4632399271170584e-02,-1.7007253449996540e-01,-3.6097917149868763e-01,-4.0503029441474325e-01,-4.5047106356221889e-01,-4.2310313674853717e-01,-2.3406885790722143e-01
3.0000000000000000e+00,4.9878013784704972e-01,5.2596509933209701e-01,4.9670129281125819e-01,4.3762469192065911e-01,4.8234287580717544e-01,4.4919652806534272e-01,4.5420950827594531e-01,5.9712502560909542e-01,4.9078591115033227e-01,5.6186454922304729e-01,5.2012674148730442e-01,4.1787715300676131e-01,4.7549811564123129e-01,4.6541283291381363e-01,5.2820473426141068e-01,5.7067212635877929e-01,4.6649335796156166e-01,5.6836833618428884e-01,4.4618835516661809e-01,6.1605042900886070e-04,6.3999217732109101e-04,6.2602082385852516e-04,6.2158409401124562e-04,6.3535538118091159e-04,6.1445562228875750e-04,6.6130235352745265e-04,6.4858140688506911e-04,6.3749300262819393e-04,6.2449559091455771e-04,6.7321810487983805e-04,6.3245827467564315e-04,6.4707553536534200e-04,7.1215164697638962e-04,6.8413092776978019e-04,6.2262850499381300e-04,6.4777729875308422e-04,6.0760283807442664e-04,5.9810584776683366e-04,-1.8971242486845499e+00,7.2975351983473047e-02,4.7677688685965336e-02,3.9667252593744706e-02,1.0986707321691824e-02,-1.4211087862037175e-02,-2.2733044557909921e-02,-5.6021272287765100e-02,-3.6161340810636489e-02,9.7982939539775771e-03,5.7100505213014685e-02,1.0387352533669514e-02,4.9978330807221027e-02,2.6734426228358643e-02,4.7153991822312946e-04,-3.4396359538391152e-02,-2.9327211104046569e-02,-4.1913019277473040e-02,4.0626406905275303e-02,8.4986682136189984e-02,-3.9151591213482106e-01,-2.6337401037856978e-01,-8.8458712355077296e-02,1.5819572318775954e-03,-7.6285429084776979e-03,-1.1099861141339318e-01,-2.4413778598741942e-01,-5.1292670621982950e-01,-4.8613649505924172e-01,-5.1185144278598216e-01,-3.5347760851678345e-01,-1.3547753674458818e-01,-3.3129474941162584e-02,9.3115692934020444e-03,-4.3822868001086590e-02,-2.3182174935243438e-01,-3.2957531659327799e-01,-5.3835738555996215e-01,-4.1880412293693325e-01
4.0000000000000000e+00,4.7481212645662380e-01,4.9799591641180535e-01,5.4679905669681350e-01,4.4284321875904159e-01,4.5872562007467915e-01,4.6562297028030708e-01,4.6771533857432501e-01,4.3188669622760967e-01,5.6533159622056872e-01,4.7392646672598016e-01,4.9125850750760824e-01,4.9520800774990159e-01,5.3615755454848779e-01,5.0548966427992637e-01,5.0770617053324751e-01,5.3015832663396734e-01,5.0914950146454863e-01,4.5641887335770631e-01,5.3765289678266925e-01,6.3604456711108259e-04,6.4996393698412726e-04,6.0458567894481371e-04,6.3382626316191065e-04,6.1904128974685669e-04,6.7808323362638040e-04,6.6143285590096229e-04,6.2580642329329648e-04,6.4022667674259765e-04,6.3018146187887776e-04,6.4521702615605140e-04,5.8844722016202021e-04,6.3330679176648336e-04,6.4734280973416836e-04,6.4027393576425483e-04,6.5947165931642395e-04,6.2302032968132256e-04,6.5005932110897603e-04,6.1702251578024821e-04,-1.3518780859773036e+00,5.7323328306324584e-03,-9.6194605614385864e-03,6.3688608387124646e-02,1.9809470286347164e-02,2.1048409903912102e-02,1.2133274385206505e-03,-1.5237748840490895e-03,-2.2033728175330225e-03,-6.8491132765302609e-03,9.3164882475349486e-03,-4.7298471805845566e-03,8.9813807946370616e-02,2.1672875272216174e-02,7.0850523226084761e-03,8.0600908169969898e-03,1.5738408354337707e-03,-2.4507964546671701e-03,-1.1423706647306631e-02,1.8042399130280273e-02,-4.0936928380475024e-01,-4.8287767495658329e-01,-4.6594702407531940e-01,-2.6649118378685444e-01,-1.3133028509138001e-01,-2.8607588964391084e-02,-1.9165320441771883e-03,-6.5346042354974543e-02,-2.5006564863261360e-01,-3.5133749487492594e-01,-4.6117581531390783e-01,-4.4395921028339558e-01,-4.0427323355629596e-01,-2.2712741976071982e-01,-8.0462145612969493e-02,-3.6296978755956388e-03,-2.8836455667757832e-02,-1.2889541989302700e-01,-3.2264554161720582e-01
5.0000000000000000e+00,5.6570380738713699e-01,4.6201164541918499e-01,5.0590220284239051e-01,4.5998880996227903e-01,4.6333802109398114e-01,4.8928417229515098e-01,4.8830351719641552e-01,5.1391940357295018e-01,5.2738357918216638e-01,4.8186725444805617e-01,5.0175075223481769e-01,4.7419809518119377e-01,4.8442381101838966e-01,5.1130562396007584e-01,5.0619332419617880e-01,5.2565496056627603e-01,5.2850793423245535e-01,5.1686570692543188e-01,5.1398610521058208e-01,6.3339631867173586e-04,5.7869054557730748e-04,6.7345717449914509e-04,6.3295629085208477e-04,6.7348838988943343e-04,6.4454664140348302e-04,6.0777964243109511e-04,6.4028629710634853e-04,6.3659443137165377e-04,6.5320964583856533e-04,6.4738562702942881e-04,6.1144838862326194e-04,6.5034887745199141e-04,6.5161042722867123e-04,6.7014379658470206e-04,6.0516933200234935e-04,6.7391256619157673e-04,6.1804764914783102e-04,6.7383285758419406e-04,-3.0675682380189189e+00,8.3830671737672446e-02,1.1486292939011378e-01,4.7899897381853407e-02,4.2988466120164048e-03,-4.4329744763871304e-02,-7.0800393103809256e-02,-3.2393047799672559e-02,-3.6460986230224535e-02,2.0903184960729959e-02,3.3769272267392125e-02,6.9396024926504651e-02,7.6318368069649978e-02,3.1488707641358360e-02,-1.9755661995191076e-02,-6.7630160138776318e-02,-3.7235402317037369e-02,-1.0238624792435758e-01,2.3834346052353794e-02,-1.9069969159346556e-02,-4.2218321993914287e-01,-1.3076736760098129e-01,-5.7699792943566308e-02,2.2341876793063875e-02,-6.9006724778830630e-03,-1.5694459865045474e-01,-3.4516786584504189e-01,-4.9150628100846916e-01,-5.5287426592443012e-01,-4.3541787952960931e-01,-2.9272395041246568e-01,-9.2144139429706229e-02,2.9703217663268333e-03,2.2605737282077598e-02,-6.7739566400604190e-02,-2.8370899940455274e-01,-4.2020761759076208e-01,-5.3233634789151552e-01,-5.1606219386712837e-01
6.0000000000000000e+00,4.1559587502917517e-01,4.4726264848212000e-01,4.2599125570552698e-01,4.7855293737798932e-01,5.0165050776170217e-01,4.7987028345712479e-01,5.0396135130288411e-01,4.7372198300593527e-01,5.3892634874378276e-01,5.0693587999466372e-01,5.7876745180389821e-01,5.2647128674043397e-01,5.2383367008574377e-01,5.8324820632397978e-01,5.0441783013622765e-01,5.2589228022913836e-01,5.1173382980346793e-01,5.2770887673265388e-01,5.4054431021279026e-01,6.4081998017373508e-04,7.1112256091909265e-04,6.0253902173087581e-04,6.2392628910333558e-04,5.9855529126275563e-04,6.2016648060342068e-04,6.1723006138286512e-04,6.4807889946338470e-04,6.4110799061431283e-04,6.4482421446983502e-04,5.9204436615582453e-04,6.8495192653539631e-04,6.2285639691926327e-04,6.3236499958746028e-04,5.6833461120131437e-04,6.3825837834329479e-04,6.5312650901605312e-04,5.6952677940510035e-04,6.4176050399363384e-04,8.9289155556029121e-02,-6.3374633874069275e-03,8.3250892846109537e-03,4.5063167058989606e-02,5.0629603398633094e-02,8.5769961369330794e-02,4.2320323079270139e-02,2.3852667313528642e-02,-3.2219056450566441e-02,-2.6834126046204609e-02,-1.5926737373384015e-02,2.6919023815574761e-03,1.1992607559796475e-02,4.5087678937627551e-02,4.1677640894022261e-02,1.2612358236963050e-01,1.6397127544642842e-03,-3.5705742473801649e-02,2.8372354646255538e-02,-2.2839429264509548e-02,-4.9161331949765241e-04,-2.2661749865537928e-02,-9.9492643151899429e-02,-2.6887458141888754e-01,-4.0613161560176803e-01,-4.5989583535854806e-01,-4.4385479541775297e-01,-2.9387344059605969e-01,-1.6696287681583488e-01,-3.1336161110395722e-02,5.5746096488951125e-03,-7.4404470445932347e-02,-2.0958444593710546e-01,-4.2231266987602378e-01,-4.2157686934440886e-01,-4.9855219853844890e-01,-3.8805004029529577e-01,-2.4345590082797131e-01,-8.9634415570416515e-02
7.0000000000000000e+00,4.7077068980969472e-01,5.3720347489225562e-01,5.3137518546731322e-01,4.5400564058128673e-01,5.2121216524993519e-01,5.3641951194504633e-01,4.1053427650397761e-01,5.2930327808775890e-01,4.4467486140192347e-01,5.5940510552076883e-01,4.6980592427004764e-01,5.4971543061837880e-01,5.1703706199615118e-01,5.2774383227079180e-01,5.5790510701101093e-01,4.6266474989184819e-01,4.7628271947153628e-01,4.5986589262560085e-01,4.9558923526504417e-01,6.7594910537113534e-04,6.4181097140157998e-04,6.6238706685761131e-04,6.3021025112315783e-04,6.3751793595141651e-04,5.7744480541746827e-04,6.8494950324048435e-04,6.1456963847441746e-04,6.4295682312603367e-04,6.2271875129580570e-04,6.6232702938488286e-04,6.4726762810214558e-04,6.4367958841419267e-04,6.7193315903228289e-04,6.1062454642979620e-04,6.2626049264563610e-04,6.4375270500934413e-04,6.0577537252377942e-04,5.9487986120218821e-04,-1.2608839844606468e+00,1.1220997242489261e-02,1.5244546514026069e-02,-4.0542005308452644e-03,-1.8706863835760146e-02,-2.6519473728114917e-02,5.5775690510628806e-02,-7.4606668842847057e-02,5.3858836945863686e-02,2.4533546083560509e-02,4.5623566924390957e-02,1.7447806088810580e-02,5.8165421368272519e-03,-1.3940954168845110e-02,-4.0879969409601813e-02,2.4594832837010472e-03,4.5235246659558470e-03,-2.4317861058165136e-03,7.1408378987669607e-02,7.7100287265707834e-02,-1.4404676407231420e-01,-2.9909942078631957e-02,3.3916474073691916e-03,-6.5403996218904581e-02,-2.2639755115072546e-01,-3.9009669872136499e-01,-3.7008188980003354e-01,-4.9819476077850311e-01,-3.3691266887458937e-01,-2.4915531260383261e-01,-7.7346336890826706e-02,2.5016255733589787e-04,-2.2622650419634738e-02,-1.3578995128327165e-01,-3.3748633065933120e-01,-3.9913793226098448e-01,-4.6318711088844111e-01,-3.8877282593219320e-01,-2.8266043927693829e-01
8.0000000000000000e+00,4.5951160791682000e-01,4.8061466457174162e-01,4.5334411689316556e-01,4.9446534828656757e-01,4.7974506876601847e-01,4.6805110484123014e-01,4.8988911825406956e-01,4.9985746381397528e-01,5.0405648653513380e-01,5.2821105727327167e-01,4.0555270410730448e-01,4.4014404178289679e-01,4.9589490664727370e-01,4.8918176100783201e-01,4.8531121682392175e-01,5.3329418351432700e-01,4.6115640719929990e-01,4.9138140860343893e-01,4.5282078105466639e-01,6.7852739579179924e-04,5.9240018664016196e-04,6.4069740934240347e-04,6.0294851753804884e-04,6.4118439240973659e-04,6.3530800385037088e-04,6.4252269344534658e-04,6.8414597788673723e-04,6.5644841857578537e-04,6.2562129796198411e-04,6.0406104173487188e-04,6.3076848161191428e-04,6.4053261576588183e-04,6.3973453411966938e-04,6.6322596850801763e-04,6.3309942045837756e-04,6.6667183438523265e-04,6.8129336203449789e-04,6.7519254774138450e-04,-2.1326527176240164e+00,8.2499860276641357e-03,9.7713800162324560e-02,4.8980681732757603e-03,3.5039414481019548e-02,-4.1916324633461954e-02,-3.9686000263827736e-02,-2.4920568719721814e-02,3.4818712357775894e-03,2.6610528447434945e-02,5.3972769364918349e-02,8.1801090789923592e-02,3.4414787908332301e-02,-9.5023402479910146e-03,-3.3765164442201012e-02,-6.3049309773077766e-02,-3.3703768220760821e-02,-1.1701887014936574e-02,1.5285116283791922e-02,2.4235781381776178e-02,-2.6196053015681287e-01,-3.8009733582811123e-01,-4.4635319262908979e-01,-4.5121157521421651e-01,-3.1743808204254265e-01,-1.5735682490358727e-01,-3.2687607287584797e-02,8.8986777946331586e-03,-5.6592439623415203e-02,-1.9920824412267280e-01,-2.7085753950828462e-01,-4.1031740938279881e-01,-4.8597106649950206e-01,-3.9519460726111788e-01,-2.3180590735805140e-01,-1.0235508485223477e-01,2.4142270405036470e-03,-1.3838194146131855e-02,-1.1385506670791301e-01
9.0000000000000000e+00,4.7181004826194045e-01,4.7785866964181339e-01,4.4027311297622995e-01,4.7331534226774552e-01,5.6262064216276186e-01,5.5238926245241260e-01,4.7605536385000491e-01,5.3992472557081350e-01,5.1068857784104349e-01,4.7486085689800872e-01,4.9801252941883467e-01,5.3044817252331256e-01,5.3457440564591163e-01,4.8458367192920021e-01,4.1591080604864689e-01,4.8166936415291189e-01,4.9737021228825440e-01,5.1329375770379881e-01,4.9836528006044184e-01,5.6366168832343332e-04,6.1499772829135370e-04,6.2526483466652833e-04,6.6102950289829640e-04,6.6134271226073584e-04,6.4481261809671219e-04,6.7687638401089359e-04,6.1196816705971248e-04,6.7310403634628698e-04,6.4957249827866795e-04,6.9086124694168972e-04,6.3602750333239990e-04,6.0008280397817098e-04,6.1932057354128068e-04,6.1843499181673460e-04,6.9717492960896202e-04,6.4648123272860783e-04,6.5924545840999804e-04,6.5602781365499863e-04,-2.3181611189515778e+00,1.0136876893440672e-01,4.7053923424300592e-02,2.3155639627958635e-02,-3.3401302612645623e-02,-2.6897269300718563e-02,-9.9185699653503434e-03,-3.7273979458518625e-03,6.4677458944117916e-03,-3.9703871301810523e-03,3.4064524534471730e-03,-6.0753038155780814e-02,1.0710104803024478e-02,5.7666721620108774e-02,1.5354029603287245e-02,2.2108408437304661e-03,-1.1542157007937703e-02,1.8052936923140805e-03,2.6129955976728070e-03,9.7043928448670158e-04,-3.0722736044097587e-01,-4.4238561081044736e-01,-4.1741514911208810e-01,-3.6462559371841508e-01,-2.6697862365310243e-01,-9.9668453934498302e-02,-4.6040815604442287e-03,-2.2510071140402488e-02,-1.3695476575037446e-01,-2.7525684176410437e-01,-4.1443711662481064e-01,-5.1989667859686506e-01,-4.6731274228051234e-01,-3.0595096323082771e-01,-1.3095162509912939e-01,-3.0637349102136113e-02,-1.0839493747027973e-03,-7.1525431799557282e-02,-2.1095314517438624e-01
1.0000000000000000e+01,4.9156864841021197e-01,5.5720200022238897e-01,4.2681620013021060e-01,4.7117100242479115e-01,5.6312245130895011e-01,5.1680590843170426e-01,5.4798235301179576e-01,5.0999156143281976e-01,4.5763180200981479e-01,5.7896872306845582e-01,4.4938045859955211e-01,5.3712002054644170e-01,4.5925378598224786e-01,4.4636068266872009e-01,4.9110849001497880e-01,4.9345854065605504e-01,4.9524297446387788e-01,5.0174692241867946e-01,4.6612151604018931e-01,6.9816953892420420e-04,6.9121991544395195e-04,6.6599241652242063e-04,6.4946647586332945e-04,5.9105023084751718e-04,6.6359689546519410e-04,6.2558689715682769e-04,6.6762343855189185e-04,6.1462882272819870e-04,5.8798785703422678e-04,6.0710237376110777e-04,5.7973926772779535e-04,6.5016804558496876e-04,6.5783380757414680e-04,6.4850110214375667e-04,6.1749784412308312e-04,6.2966839302255667e-04,6.1990931312537825e-04,6.3442373427444047e-04,-2.0427602674172975e+00,7.2909775994389747e-03,1.8109599153603995e-02,2.0459101079950415e-04,-2.7224460907859793e-02,-7.5991613002202030e-03,-6.2210050444377885e-02,7.8320412377763660e-03,-3.3159082146738683e-02,6.9697679183633454e-02,8.8773075557213588e-02,4.5972719409093088e-02,1.2812538141560026e-02,-1.4091752653655476e-02,-3.9592507494745632e-02,-4.4602955995287630e-02,8.1711597488265397e-03,1.9165608655669075e-02,5.9246407779767196e-02,5.0203200263609915e-02,-1.8647435373608801e-01,-5.7707478351431973e-02,7.8779396339712093e-03,-4.1570354714082214e-02,-2.2159039314573192e-01,-3.5106453166733331e-01,-5.1622352081892586e-01,-4.9938277824068678e-01,-3.6318633256371413e-01,-2.6773655914524852e-01,-8.0137268376745396e-02,3.7287506415850658e-03,-4.7653410106818228e-03,-9.2467035806009790e-02,-2.6193784030681400e-01,-4.1480597401388764e-01,-4.8903842797543007e-01,-4.5863660158573794e-01,-3.1504953357242016e-01
