"soilcol" "z0m" "watertable"
2 0.000671 -9.1
4 2e-04 -3.1
7 0.000121 -7.5
8 6.4e-05 -8.1
2 0.000215 -1.7
2 0.001485 -3.4
8 7.9e-05 -3.7
6 0.000157 -4
8 0.00013 -7.6
7 9.3e-05 -6.1
6 7.5e-05 -9.9
2 0.000133 -2.6
1 0.000159 -7.1
6 0.000109 -9.7
2 0.002009 -2.2
5 7.8e-05 -5.3
2 0.000176 -9
2 7.4e-05 -4.2
6 8.1e-05 -6.4
4 0.000245 -1.8
4 7.3e-05 -4
2 0.000826 -2.4
6 0.000499 -2.9
7 0.000123 -9.1
8 1.7e-05 -3
6 0.000219 -5.6
5 0.000522 -8.1
2 4.7e-05 -5.3
4 2.9e-05 -1.9
7 0.000492 -6.7
5 5e-06 -3.5
1 0.000249 -6.9
6 1.5e-05 -3.6
4 9.2e-05 -8.8
2 0.000238 -8.7
7 6e-05 -8.1
4 4.3e-05 -5.4
2 0.000168 -4
3 0.000303 -4.9
4 2.6e-05 -4.1
2 0.000686 -7.7
6 0.000117 -2.8
6 4.6e-05 -6.4
8 6.6e-05 -6
2 0.000241 -7.4
1 1.3e-05 -9.1
5 0.000352 -7.1
4 9.2e-05 -6.8
4 0.001317 -7.4
2 0.000235 -9.3
8 2e-06 -5.4
2 9.8e-05 -3.3
7 0.000901 -6.4
7 8.5e-05 -6.4
6 0.000579 -7.8
6 0.000112 -9.4
6 1.6e-05 -1.3
2 0.001448 -8.2
3 0.000506 -3.5
1 0.000578 -6.3
8 0.000164 -9.9
5 0.000122 -5.7
3 7.8e-05 -3.5
5 0.005326 -4.5
1 0.000125 -9
3 3.2e-05 -5.8
5 0.000837 -8.1
5 1e-05 -1.8
2 4.4e-05 -8.4
3 0.000128 -6.2
7 0.000426 -1.9
5 0.000123 -8.3
5 0.00029 -4.5
3 0.005201 -9.3
4 5.2e-05 -2
8 0.000389 -1.9
8 0.000122 -9
3 4.2e-05 -4.9
4 2e-05 -7.6
5 1e-05 -9.3
4 8.9e-05 -1.3
5 0.000438 -1.7
7 0.000136 -7.1
6 0.000244 -9.7
5 3.3e-05 -1.2
6 0.000363 -5.9
2 0.000153 -9.7
1 3.3e-05 -7.9
6 5.4e-05 -3.2
1 0.000157 -2.6
3 6.6e-05 -4.9
6 0.001053 -6.8
3 0.000131 -9.3
4 2.6e-05 -6
6 4.9e-05 -2.3
6 6.5e-05 -1.1
8 0.000492 -3.3
7 7.8e-05 -8.3
3 0.000195 -6.9
8 0.000161 -4.6
2 0.00179 -6.7
4 0.000878 -8
7 7.2e-05 -1.9
7 2.9e-05 -8
7 0.000136 -4
5 0.000123 -1.5
2 2.5e-05 -9.1
6 0.000174 -7.4
5 1.4e-05 -1.8
1 4.3e-05 -6.1
7 7.1e-05 -7.8
5 0.000598 -2.7
4 0.009092 -4.5
8 3.7e-05 -5.7
2 0.000147 -5.2
