"lai" "lai0" "sai" "z0m" "dleaf" "rhol_vis" "rhol_nir" "rhos_vis" "rhos_nir" "taul_vis" "taul_nir" "taus_vis" "taus_nir" "xl" "fieldcap" "dewmx" "watertable" "soilcol" "wiltpt"
2.5 2.8 3.3 0.006 0.16 0.1 0.35 0.36 0.53 0.05 0.17 0.23 0.37 -0.02 0.74 0.12 -5.7 6 0.11
3.9 1.6 3.4 0.006 0.09 0.12 0.49 0.34 0.56 0.02 0.26 0.15 0.4 0.23 0.99 0.14 -3.2 3 0.13
2.3 0.8 2.4 0.003 0.15 0.1 0.49 0.38 0.56 0.01 0.31 0.16 0.31 0.15 0.93 0.09 -6.5 8 0.12
2.9 0.5 2.4 0.009 0.13 0.11 0.36 0.39 0.55 0.08 0.42 0.16 0.3 -0.15 0.43 0.09 -10 7 0.15
2.1 2.9 3.8 0.007 0.11 0.1 0.47 0.38 0.56 0.07 0.36 0.22 0.3 -0.2 0.71 0.05 -8.3 2 0.13
2.1 0.7 2.5 0.004 0.15 0.08 0.4 0.39 0.56 0.01 0.31 0.24 0.31 -0.04 0.78 0.1 -6.3 4 0.19
3 0.9 2.4 0.016 0.09 0.09 0.35 0.32 0.54 0.04 0.38 0.23 0.34 -0.15 0.6 0.08 -7.2 3 0.23
3.3 2.7 0.8 0.003 0.03 0.11 0.45 0.36 0.51 0.06 0.21 0.23 0.38 -0.09 0.32 0.13 -7.1 2 0.2
2.7 2.4 2.4 0.007 0.07 0.08 0.44 0.34 0.59 0.06 0.12 0.2 0.31 0.07 0.34 0.15 -5.6 4 0.28
3.9 0.6 2 0.014 0.02 0.1 0.52 0.33 0.58 0.05 0.35 0.25 0.34 -0.28 0.73 0.14 -9.7 3 0.11
2.4 2.1 3.6 0.006 0.08 0.12 0.38 0.36 0.56 0.02 0.4 0.19 0.32 0.03 0.62 0.09 -6.6 3 0.22
3.4 1.4 3.8 0.005 0.15 0.1 0.48 0.33 0.54 0.07 0.37 0.19 0.34 -0.03 0.67 0.09 -1 5 0.26
3 1.8 2.8 0.008 0.08 0.12 0.43 0.36 0.57 0.06 0.4 0.22 0.37 0.26 0.87 0.1 -6 2 0.11
3.1 1.6 3.6 0.006 0.08 0.08 0.53 0.38 0.51 0.03 0.12 0.18 0.3 0.36 0.87 0.15 -2 4 0.16
1.5 1.8 0.6 0.009 0.12 0.09 0.4 0.32 0.53 0.05 0.23 0.18 0.32 0.35 0.44 0.05 -1.9 2 0.1
2.5 2.5 3.4 0.004 0.05 0.13 0.51 0.35 0.56 0.03 0.29 0.19 0.33 0.28 0.64 0.14 -3.1 1 0.15
1.7 2.2 2.5 0.003 0.07 0.08 0.44 0.32 0.59 0.02 0.31 0.16 0.35 0.34 0.61 0.1 -9 4 0.13
2.7 0.1 2.7 0.003 0.09 0.06 0.4 0.32 0.58 0.07 0.37 0.22 0.38 -0.25 0.43 0.09 -1.3 6 0.13
2.9 0.9 1.6 0.005 0.15 0.1 0.48 0.4 0.52 0.03 0.37 0.21 0.33 0.32 0.85 0.07 -4.1 8 0.15
1 2.6 1.5 0.013 0.11 0.09 0.43 0.34 0.53 0.04 0.12 0.22 0.32 0.39 0.69 0.14 -3.4 8 0.27
3.1 1.5 3.4 0.007 0.02 0.06 0.39 0.36 0.51 0.05 0.45 0.22 0.39 0.25 0.74 0.13 -5.6 3 0.2
1.2 2.6 2.1 0.006 0.04 0.06 0.48 0.33 0.57 0.08 0.37 0.24 0.32 0.2 0.43 0.06 -8.3 4 0.24
3.9 2.6 1.8 0.007 0.16 0.13 0.5 0.39 0.57 0.04 0.35 0.16 0.35 -0.07 0.92 0.1 -1.7 4 0.21
1.2 2.6 3.6 0.005 0.08 0.09 0.45 0.37 0.51 0.07 0.14 0.2 0.38 0.15 0.87 0.07 -2.3 4 0.27
2.1 1.3 2.6 0.002 0.11 0.07 0.53 0.31 0.57 0.05 0.45 0.16 0.4 -0.13 0.95 0.09 -1.4 7 0.2
1 2.6 3.7 0.004 0.1 0.09 0.46 0.31 0.52 0.01 0.32 0.15 0.33 -0.08 0.65 0.1 -3.5 5 0.16
1.4 1.4 3.3 0.003 0.13 0.12 0.36 0.32 0.51 0.03 0.1 0.23 0.32 0.21 0.47 0.13 -5.6 4 0.15
2.6 1.7 2.5 0.006 0.15 0.08 0.49 0.39 0.52 0.08 0.1 0.22 0.34 -0.21 0.72 0.05 -5.8 4 0.29
2.2 2.5 2.9 0.005 0.03 0.08 0.46 0.37 0.56 0.06 0.32 0.22 0.38 0.27 0.47 0.15 -9.2 8 0.21
2 1.9 2.1 0.003 0.12 0.07 0.46 0.37 0.59 0.05 0.14 0.16 0.34 -0.1 0.83 0.08 -7.2 7 0.19
3.8 1.7 1 0.007 0.07 0.08 0.53 0.39 0.59 0.02 0.33 0.25 0.37 0.07 0.79 0.05 -3.6 1 0.18
2.3 1.4 0.8 0.007 0.14 0.13 0.41 0.33 0.51 0.05 0.36 0.23 0.38 0.1 0.36 0.13 -7.5 2 0.2
3.5 1.7 2.4 0.011 0.14 0.07 0.5 0.33 0.6 0.08 0.27 0.23 0.38 -0.05 0.7 0.14 -9.7 5 0.22
1.4 2.6 4 0.003 0.03 0.11 0.52 0.38 0.52 0.05 0.22 0.22 0.39 0.09 0.36 0.1 -2.8 4 0.1
4 1.9 1.5 0.007 0.12 0.09 0.37 0.34 0.58 0.04 0.32 0.17 0.33 -0.06 0.74 0.06 -4.8 6 0.17
1.9 1.7 3.4 0.004 0.11 0.09 0.42 0.35 0.53 0.06 0.14 0.24 0.33 -0.13 0.43 0.14 -7.4 7 0.17
2.6 1.7 1.2 0.003 0.12 0.11 0.37 0.38 0.55 0.06 0.13 0.19 0.35 0.26 0.41 0.12 -1.5 4 0.11
1 2.2 1.7 0.006 0.06 0.12 0.44 0.4 0.55 0.01 0.22 0.16 0.38 0.26 0.91 0.13 -5.4 5 0.14
