Run,AE1,AE2,AE3,OIL,WATER,CO,CO2,VEL
1.0000000000000000e+00,2.1473558098793997e+04,6.2638021824055344e+04,1.0460136886743331e+05,5.4171999999999998e-01,1.0459000000000001e+00,7.7462900000000001e-02,3.8649000000000000e-01,6.2575757575757573e-01
2.0000000000000000e+00,2.4528864488612577e+04,6.5180082514972928e+04,7.3515017210619262e+04,5.5264999999999997e-01,1.0390999999999999e+00,7.4962500000000001e-02,3.7400000000000000e-01,5.8636363636363642e-01
3.0000000000000000e+00,2.4676661545501680e+04,7.1233642902447566e+04,7.2646680942064399e+04,5.4752999999999996e-01,1.0406000000000000e+00,7.5450100000000006e-02,3.7644000000000000e-01,5.9696969696969704e-01
4.0000000000000000e+00,1.9135465693611452e+04,8.0532913602831497e+04,8.7462883744923602e+04,5.2810999999999997e-01,1.0601000000000000e+00,8.2958100000000007e-02,4.1388999999999998e-01,6.3181818181818172e-01
5.0000000000000000e+00,1.8250260817667942e+04,5.5473990137666486e+04,7.4994809129992485e+04,5.6184999999999996e-01,1.0210999999999999e+00,7.2626499999999997e-02,3.6235000000000001e-01,7.6666666666666650e-01
6.0000000000000000e+00,2.6110712189143436e+04,6.6601800174864446e+04,8.9706811536817986e+04,5.4971000000000003e-01,1.0374000000000001e+00,7.4266799999999994e-02,3.7053999999999998e-01,5.3030303030303028e-01
7.0000000000000000e+00,2.2509974078787789e+04,5.5850886044001869e+04,1.0150455837935040e+05,5.4966000000000004e-01,1.0351999999999999e+00,7.5740500000000002e-02,3.7790000000000001e-01,5.8484848484848484e-01
8.0000000000000000e+00,2.0652013347344498e+04,6.1286954466492491e+04,9.0874621965325612e+04,5.4876000000000003e-01,1.0422000000000000e+00,7.6673500000000006e-02,3.8253999999999999e-01,6.4848484848484855e-01
9.0000000000000000e+00,2.2342332313084124e+04,6.3968081138362613e+04,9.3026056500092382e+04,5.4271999999999998e-01,1.0423000000000000e+00,7.6540899999999995e-02,3.8188000000000000e-01,6.0303030303030292e-01
1.0000000000000000e+01,2.6514320461977666e+04,7.0777684268025681e+04,7.9967888409249819e+04,5.5284000000000000e-01,1.0369999999999999e+00,7.4122199999999999e-02,3.6981000000000003e-01,5.1818181818181808e-01
1.1000000000000000e+01,1.9899555617443271e+04,6.5881011543848159e+04,7.1014575194718404e+04,5.4920999999999998e-01,1.0438000000000001e+00,7.6692399999999994e-02,3.8263000000000003e-01,6.6969696969696968e-01
1.2000000000000000e+01,2.5954687447706165e+04,7.0498591571873025e+04,7.7191841081468287e+04,5.5149999999999999e-01,1.0367999999999999e+00,7.4434100000000003e-02,3.7136999999999998e-01,5.5303030303030298e-01
1.3000000000000000e+01,2.2739729426908580e+04,5.5473794401074752e+04,1.0026242571202425e+05,5.4879000000000000e-01,1.0398000000000001e+00,7.5819800000000007e-02,3.7829000000000002e-01,6.1515151515151512e-01
1.4000000000000000e+01,2.2045042426470118e+04,6.8821727339636142e+04,8.9917134937577110e+04,5.4337999999999997e-01,1.0449999999999999e+00,7.7635099999999999e-02,3.8734000000000002e-01,6.2878787878787878e-01
1.5000000000000000e+01,2.4187884400717900e+04,6.4050935394294414e+04,7.2800351682774548e+04,5.5389999999999995e-01,1.0364000000000000e+00,7.4883300000000000e-02,3.7361000000000000e-01,5.9090909090909094e-01
1.6000000000000000e+01,2.2166108930217859e+04,5.5312261042329686e+04,9.5921142430698441e+04,5.4835000000000000e-01,1.0429999999999999e+00,7.5838900000000001e-02,3.7837999999999999e-01,6.1212121212121218e-01
1.7000000000000000e+01,1.8390925855413152e+04,7.9794139200947800e+04,9.6065302876260452e+04,5.2536000000000005e-01,1.0641000000000000e+00,8.3756499999999998e-02,4.1787999999999997e-01,6.4696969696969697e-01
1.8000000000000000e+01,2.6507544892975544e+04,6.7885961266118247e+04,7.8498895111692807e+04,5.5479999999999996e-01,1.0361000000000000e+00,7.3875399999999994e-02,3.6858000000000002e-01,5.2272727272727271e-01
1.9000000000000000e+01,2.0393926675141014e+04,7.4519892097849443e+04,1.0485679701736804e+05,5.3212000000000004e-01,1.0538000000000001e+00,8.0911899999999995e-02,4.0370000000000000e-01,6.2878787878787878e-01
2.0000000000000000e+01,2.1266912687319284e+04,7.4354690288192287e+04,7.3914998853856712e+04,5.4052000000000000e-01,1.0432999999999999e+00,7.8207499999999999e-02,3.9018999999999998e-01,6.4090909090909098e-01
