Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
1.0000000000000000e+00,2.5895457914817245e+04,7.7875223913626600e+04,7.4444538570272707e+04,1.0488153082100471e+05,4.8220000000000002e-01,1.0384000000000000e+00,1.5212000000000001e-01,1.5320000000000000e-01,5.2272727272727271e-01
2.0000000000000000e+00,2.4217705065273767e+04,5.6214082853984175e+04,7.9747437660346695e+04,9.1687734691379417e+04,5.0041000000000002e-01,1.0139000000000000e+00,1.4591000000000001e-01,1.4591999999999999e-01,9.0454545454545465e-01
3.0000000000000000e+00,2.7209062885995540e+04,7.9459012743340616e+04,7.5516457858714188e+04,1.0694134014338217e+05,1.2116000000000000e-01,1.1094999999999999e+00,3.0398199999999999e-03,3.0398500000000002e-03,2.8636363636363638e-01
4.0000000000000000e+00,2.7205935923835099e+04,6.6608067385772141e+04,9.8009816411108011e+04,7.7107908190579750e+04,5.0976999999999995e-01,1.0206000000000000e+00,1.4026000000000000e-01,1.4027000000000001e-01,5.1060606060606062e-01
5.0000000000000000e+00,2.2280203800161729e+04,7.8141712075067000e+04,9.7727256534584405e+04,1.0654172735014450e+05,4.3384000000000000e-01,1.0669000000000000e+00,1.7605000000000001e-01,1.7610999999999999e-01,7.7272727272727271e-01
6.0000000000000000e+00,2.4432814432240601e+04,5.4557072985788283e+04,9.9719525705407199e+04,1.0562375691927182e+05,5.0558000000000003e-01,1.0116000000000001e+00,1.4469000000000001e-01,1.4469000000000001e-01,9.0454545454545465e-01
7.0000000000000000e+00,2.4644363424691517e+04,7.3907435499499334e+04,9.6009636384372061e+04,8.6120172703230055e+04,4.7381000000000001e-01,1.0373000000000001e+00,1.5692000000000000e-01,1.5695000000000001e-01,6.5303030303030307e-01
8.0000000000000000e+00,2.4430396589633521e+04,5.8187803233349856e+04,9.4711613080686308e+04,7.3145982469587150e+04,4.9775000000000003e-01,1.0146999999999999e+00,1.4732000000000001e-01,1.4732999999999999e-01,7.7727272727272734e-01
9.0000000000000000e+00,2.0947691461640188e+04,5.4837393268914922e+04,7.3399612343254659e+04,1.0164448181978254e+05,4.9685000000000001e-01,1.0194000000000001e+00,1.4932000000000001e-01,1.4935000000000001e-01,9.0909090909090906e-01
1.0000000000000000e+01,2.4792423331377518e+04,6.2098266065631062e+04,1.0325777170934243e+05,7.3240058898104719e+04,4.9067000000000000e-01,1.0314000000000001e+00,1.4943000000000001e-01,1.4943000000000001e-01,7.0151515151515154e-01
1.1000000000000000e+01,2.2436448108838864e+04,6.3825766650092628e+04,9.6793087585215078e+04,1.0062719644093428e+05,4.6897000000000000e-01,1.0429999999999999e+00,1.6070000000000001e-01,1.6070000000000001e-01,9.1060606060606064e-01
1.2000000000000000e+01,2.0119227961900284e+04,6.6725685807124595e+04,8.5595517024881483e+04,9.5267268364005518e+04,4.4056000000000001e-01,1.0726000000000000e+00,1.7524000000000001e-01,1.7532000000000000e-01,9.0454545454545465e-01
1.3000000000000000e+01,2.4926156443894266e+04,7.3825603077127278e+04,7.9660877694950235e+04,9.6469296366732291e+04,4.7742000000000001e-01,1.0345000000000000e+00,1.5467000000000000e-01,1.5497000000000000e-01,6.3333333333333330e-01
1.4000000000000000e+01,2.4426901636559334e+04,5.7957994503216098e+04,7.4164918854543183e+04,8.9941105871357140e+04,4.9859999999999999e-01,1.0130999999999999e+00,1.4693999999999999e-01,1.4698000000000000e-01,9.0757575757575748e-01
1.5000000000000000e+01,2.7229644418347947e+04,6.2722337474652370e+04,9.0484371284292210e+04,8.0057229821680929e+04,5.1465000000000005e-01,1.0135000000000001e+00,1.3877999999999999e-01,1.3879000000000000e-01,5.1666666666666661e-01
1.6000000000000000e+01,2.5311656945612005e+04,6.0436549094308415e+04,8.7708496808279975e+04,9.7166762015640692e+04,4.9830000000000002e-01,1.0248999999999999e+00,1.4627000000000001e-01,1.4627999999999999e-01,6.8787878787878798e-01
1.7000000000000000e+01,2.6596309923329347e+04,7.9309010195505907e+04,8.9152543548733112e+04,7.6990479941832455e+04,1.6506999999999999e-01,1.1898000000000000e+00,8.9968000000000006e-02,9.0103799999999998e-02,2.9242424242424242e-01
1.8000000000000000e+01,1.9773504851143327e+04,6.0501221210516138e+04,9.9425103959428190e+04,8.1154158442975124e+04,4.6961999999999998e-01,1.0355000000000001e+00,1.6092000000000001e-01,1.6092999999999999e-01,9.0303030303030307e-01
1.9000000000000000e+01,2.5891420399833110e+04,6.0126469161829715e+04,1.0252422681155297e+05,8.4599415575453109e+04,5.0414999999999999e-01,1.0219000000000000e+00,1.4391999999999999e-01,1.4393000000000000e-01,5.9242424242424241e-01
2.0000000000000000e+01,2.0208676303967117e+04,6.0329047393757632e+04,9.1561563665132373e+04,8.9038398560498259e+04,4.7193000000000002e-01,1.0340000000000000e+00,1.5951000000000001e-01,1.5951000000000001e-01,9.0454545454545443e-01
