Run,p_{inf},M_{inf},Gamma,r1,r2,r3,r4,wall-press,heat-flux
1.0000000000000000e+00,1.8925000000000001e+01,1.7243749999999999e+01,1.0156250000000000e-03,-1.2750000000000000e-01,1.1250000000000000e-01,-1.0625000000000000e-01,1.8749999999999999e-02,7.5070039999999999e+03,3.5996550000000000e+05
2.0000000000000000e+00,1.9925000000000001e+01,1.4993750000000000e+01,1.8906249999999999e-03,1.7249999999999999e-01,-1.8750000000000000e-01,-1.5625000000000000e-01,1.6875000000000001e-01,5.9142590000000000e+03,2.3785420000000001e+05
3.0000000000000000e+00,2.3925000000000001e+01,1.6793749999999999e+01,1.3906249999999999e-03,-6.7500000000000004e-02,5.2499999999999998e-02,4.3749999999999997e-02,-3.1250000000000000e-02,8.9971229999999996e+03,3.9324570000000001e+05
4.0000000000000000e+00,2.1925000000000001e+01,1.4093750000000000e+01,1.1406249999999999e-03,5.2499999999999998e-02,1.7249999999999999e-01,-5.6250000000000001e-02,-1.3125000000000001e-01,5.7971959999999999e+03,2.7035640000000002e+05
5.0000000000000000e+00,1.7925000000000001e+01,1.5893750000000001e+01,1.6406249999999999e-03,-1.8750000000000000e-01,-6.7500000000000004e-02,1.4374999999999999e-01,6.8750000000000006e-02,6.0420709999999999e+03,3.5575140000000002e+05
6.0000000000000000e+00,1.7425000000000001e+01,1.5218750000000000e+01,1.0781250000000001e-03,-9.7500000000000003e-02,-3.7499999999999999e-02,1.1874999999999999e-01,1.4374999999999999e-01,5.3503819999999996e+03,2.3921779999999999e+05
7.0000000000000000e+00,2.1425000000000001e+01,1.7018750000000001e+01,1.5781250000000001e-03,1.4249999999999999e-01,2.0250000000000001e-01,-8.1250000000000003e-02,-5.6250000000000001e-02,8.2792430000000004e+03,3.9538420000000001e+05
8.0000000000000000e+00,2.3425000000000001e+01,1.4318750000000000e+01,1.8281250000000001e-03,-2.1750000000000000e-01,8.2500000000000004e-02,1.8749999999999999e-02,-1.5625000000000000e-01,6.3789719999999998e+03,2.7787040000000002e+05
9.0000000000000000e+00,1.9425000000000001e+01,1.6118749999999999e+01,1.3281250000000001e-03,2.2499999999999999e-02,-1.5750000000000000e-01,-1.8124999999999999e-01,4.3749999999999997e-02,6.7366250000000000e+03,3.9262350000000000e+05
1.0000000000000000e+01,1.8425000000000001e+01,1.3868750000000000e+01,1.7031250000000000e-03,-3.7499999999999999e-02,2.2499999999999999e-02,-1.3125000000000001e-01,1.9375000000000001e-01,4.6598149999999996e+03,1.6885120000000001e+05
1.1000000000000000e+01,2.2425000000000001e+01,1.5668749999999999e+01,1.2031250000000000e-03,2.0250000000000001e-01,-2.1750000000000000e-01,6.8750000000000006e-02,-6.2500000000000003e-03,7.3369790000000003e+03,3.5870620000000001e+05
1.2000000000000000e+01,2.0425000000000001e+01,1.4768750000000001e+01,1.4531250000000000e-03,-1.5750000000000000e-01,-9.7500000000000003e-02,-3.1250000000000000e-02,-1.0625000000000000e-01,5.9034240000000000e+03,2.6774100000000000e+05
1.3000000000000000e+01,1.6425000000000001e+01,1.6568750000000001e+01,1.9531250000000000e-03,8.2500000000000004e-02,1.4249999999999999e-01,1.6875000000000001e-01,9.3750000000000000e-02,5.9862070000000003e+03,2.9461300000000000e+05
1.4000000000000000e+01,1.6487500000000001e+01,1.5134375000000000e+01,1.4453125000000000e-03,1.4624999999999999e-01,-1.3875000000000001e-01,1.4687500000000001e-01,-4.0625000000000001e-02,5.0016769999999997e+03,2.3217179999999999e+05
1.5000000000000000e+01,2.0487500000000001e+01,1.6934374999999999e+01,1.9453125000000000e-03,-9.3750000000000000e-02,1.0125000000000001e-01,-5.3124999999999999e-02,1.5937499999999999e-01,7.8345590000000002e+03,3.8331170000000001e+05
1.6000000000000000e+01,2.2487500000000001e+01,1.4234375000000000e+01,1.6953125000000000e-03,2.6249999999999999e-02,2.2125000000000000e-01,4.6875000000000000e-02,5.9374999999999997e-02,6.0407870000000003e+03,2.5485520000000001e+05
1.7000000000000000e+01,1.8487500000000001e+01,1.6034375000000001e+01,1.1953125000000000e-03,-2.1375000000000000e-01,-1.8749999999999999e-02,-1.5312500000000001e-01,-1.4062500000000000e-01,6.3282179999999998e+03,3.3963000000000000e+05
1.8000000000000000e+01,1.9487500000000001e+01,1.3784375000000001e+01,1.8203125000000001e-03,2.0624999999999999e-01,1.6125000000000000e-01,-1.0312499999999999e-01,-9.0624999999999997e-02,4.9040690000000004e+03,2.0582079999999999e+05
1.9000000000000000e+01,2.3487500000000001e+01,1.5584375000000000e+01,1.3203125000000001e-03,-3.3750000000000002e-02,-7.8750000000000001e-02,9.6875000000000003e-02,1.0937500000000000e-01,7.5984560000000001e+03,3.6004729999999999e+05
2.0000000000000000e+01,2.1487500000000001e+01,1.4684374999999999e+01,1.0703125000000001e-03,8.6249999999999993e-02,-1.9875000000000001e-01,-3.1250000000000002e-03,9.3749999999999997e-03,6.1369650000000001e+03,2.5893289999999999e+05
2.1000000000000000e+01,1.7487500000000001e+01,1.6484375000000000e+01,1.5703125000000001e-03,-1.5375000000000000e-01,4.1250000000000002e-02,1.9687499999999999e-01,-1.9062499999999999e-01,6.2942550000000001e+03,2.7758190000000002e+05
2.2000000000000000e+01,1.7987500000000001e+01,1.4459375000000000e+01,1.1328124999999999e-03,-3.7499999999999999e-03,7.1249999999999994e-02,1.7187500000000000e-01,-1.5625000000000000e-02,4.9901270000000004e+03,2.3902779999999999e+05
2.3000000000000000e+01,2.1987500000000001e+01,1.6259374999999999e+01,1.6328124999999999e-03,2.3624999999999999e-01,-1.6875000000000001e-01,-2.8125000000000001e-02,1.8437500000000001e-01,7.6626639999999998e+03,2.7027409999999998e+05
2.4000000000000000e+01,2.3987500000000001e+01,1.5359375000000000e+01,1.8828124999999999e-03,-1.2375000000000000e-01,-4.8750000000000002e-02,7.1874999999999994e-02,8.4375000000000006e-02,7.5257110000000002e+03,3.3029650000000000e+05
2.5000000000000000e+01,1.9987500000000001e+01,1.7159375000000001e+01,1.3828124999999999e-03,1.1625000000000001e-01,1.9125000000000000e-01,-1.2812499999999999e-01,-1.1562500000000001e-01,7.8516090000000004e+03,3.8182290000000002e+05
2.6000000000000000e+01,1.8987500000000001e+01,1.4909375000000001e+01,1.5078125000000000e-03,-6.3750000000000001e-02,-1.0875000000000000e-01,-1.7812500000000001e-01,-6.5625000000000003e-02,5.5913599999999997e+03,2.6642509999999998e+05
2.7000000000000000e+01,2.2987500000000001e+01,1.6709375000000001e+01,1.0078125000000000e-03,1.7624999999999999e-01,1.3125000000000001e-01,2.1874999999999999e-02,1.3437499999999999e-01,8.5523680000000004e+03,3.6362659999999998e+05
2.8000000000000000e+01,2.0987500000000001e+01,1.4009375000000000e+01,1.2578125000000000e-03,-1.8375000000000000e-01,1.1250000000000000e-02,-7.8125000000000000e-02,3.4375000000000003e-02,5.4429809999999998e+03,2.0792010000000001e+05
2.9000000000000000e+01,1.6987500000000001e+01,1.5809374999999999e+01,1.7578125000000000e-03,5.6250000000000001e-02,-2.2875000000000001e-01,1.2187500000000000e-01,-1.6562499999999999e-01,5.6390219999999999e+03,2.9947759999999998e+05
3.0000000000000000e+01,1.7237500000000001e+01,1.4121874999999999e+01,1.6640625000000000e-03,7.1249999999999994e-02,-3.7499999999999999e-03,9.3749999999999997e-03,1.7187500000000000e-01,4.5481580000000004e+03,2.0326420000000001e+05
3.1000000000000000e+01,2.1237500000000001e+01,1.5921875000000000e+01,1.1640624999999999e-03,-1.6875000000000001e-01,2.3624999999999999e-01,-1.9062499999999999e-01,-2.8125000000000001e-02,7.1901329999999998e+03,4.0349329999999999e+05
3.2000000000000000e+01,2.3237500000000001e+01,1.5021875000000000e+01,1.4140625000000000e-03,1.9125000000000000e-01,1.1625000000000001e-01,1.0937500000000000e-01,-1.2812499999999999e-01,6.9693469999999998e+03,2.8871390000000002e+05
