run, p_{inf}, M_{inf}, gamma, r1, r2, r3, r4, p_{st}, q_{st}
1.000000e+00, 1.933119e+01, 1.627296e+01, 1.398700e-03, -5.993708e-02, -1.322323e-01, 2.880766e-02, -6.623819e-02, 6.767853e+03, 2.896625e+05
2.000000e+00, 1.747419e+01, 1.531571e+01, 1.738660e-03, 3.361098e-02, 1.498020e-01, 5.474595e-02, -2.413256e-01, 5.442225e+03, 2.644530e+05
3.000000e+00, 2.258679e+01, 1.430799e+01, 1.107775e-03, 5.715223e-02, -4.812000e-02, -1.554798e-01, 2.471283e-01, 6.153626e+03, 2.852333e+05
4.000000e+00, 2.189722e+01, 1.474545e+01, 1.449366e-03, 1.051734e-01, 3.585853e-03, -1.615418e-01, -1.950722e-02, 6.299070e+03, 2.566424e+05
5.000000e+00, 1.823597e+01, 1.491681e+01, 1.586073e-03, 7.944642e-02, 4.492569e-02, -9.667859e-02, 1.015787e-01, 5.363317e+03, 2.343861e+05
6.000000e+00, 1.735992e+01, 1.607241e+01, 1.811479e-03, 1.846511e-02, 5.869038e-02, -3.441956e-02, 1.213328e-01, 5.978620e+03, 3.574196e+05
7.000000e+00, 1.753215e+01, 1.408091e+01, 1.511743e-03, -1.126188e-01, -2.351875e-01, 2.721552e-01, -7.242145e-02, 4.580039e+03, 1.807305e+05
8.000000e+00, 1.972752e+01, 1.574722e+01, 1.824901e-03, 4.439490e-02, 1.904731e-01, 1.519387e-01, 2.782039e-02, 6.528779e+03, 3.792686e+05
9.000000e+00, 2.392728e+01, 1.569927e+01, 1.544580e-03, -1.174177e-01, -2.134918e-01, -5.066045e-02, 9.415959e-03, 7.836688e+03, 3.533033e+05
1.000000e+01, 2.140197e+01, 1.504229e+01, 1.527123e-03, -4.554432e-03, 7.417360e-02, 6.438502e-02, -8.602858e-02, 6.422669e+03, 2.666293e+05
1.100000e+01, 2.084495e+01, 1.458119e+01, 1.387408e-03, -1.884544e-01, 4.220461e-02, -1.824297e-02, 2.421959e-02, 5.877135e+03, 2.642667e+05
1.200000e+01, 2.123258e+01, 1.370381e+01, 1.049900e-03, -6.207367e-02, 7.945455e-02, 1.639047e-01, -2.057057e-01, 5.258973e+03, 1.802249e+05
1.300000e+01, 2.346291e+01, 1.484379e+01, 1.764208e-03, -1.435317e-01, -3.241863e-02, 4.507409e-02, 7.756922e-02, 6.833765e+03, 2.518111e+05
1.400000e+01, 2.180343e+01, 1.516743e+01, 1.717755e-03, 4.815066e-02, 1.514792e-02, 1.777854e-01, 1.542652e-01, 6.670605e+03, 2.957792e+05
