Run,Cs,Pr_t,Sc_t,ave_T0,ave_T1,ave_T2,rms_T0,rms_T1,rms_T2,ave_w0,ave_w1,ave_w2,rms_w0,rms_w1,rms_w2,ave_mixFrac0,ave_mixFrac1,ave_mixFrac2,rms_mixFrac0,rms_mixFrac1,rms_mixFrac2,ave_P0,ave_P1,ave_P2,rms_P0,rms_P1,rms_P2,ave_rho0,ave_rho1,ave_rho2,rms_rho0,rms_rho1,rms_rho2
1.0000000000000000e+00,2.0549999999999999e-01,1.1000000000000001e+00,1.1000000000000001e+00,-7.0862599999999998e-02,-3.6049600000000001e-02,-1.0986900000000001e-02,1.7288700000000001e-01,6.0616200000000002e-02,2.6428400000000001e-02,1.1357700000000000e-02,7.8826100000000000e-03,-5.0993100000000001e-03,3.7067000000000000e-01,2.3491300000000001e-01,1.5990900000000000e-01,4.2571700000000001e-01,8.4948199999999996e-01,1.1686300000000001e+00,4.1511999999999999e-01,3.4312799999999999e-01,3.5162700000000002e-01,8.8681600000000005e-01,7.6489200000000002e-01,6.7360399999999998e-01,1.1772800000000000e-01,9.7357399999999997e-02,8.9089900000000000e-02,8.4302800000000000e-01,7.2407900000000003e-01,6.7207600000000001e-01,1.1490000000000000e-01,5.8266199999999997e-02,4.0871800000000000e-02
2.0000000000000000e+00,6.5000000000000002e-02,1.1000000000000001e+00,1.1000000000000001e+00,-1.0123500000000001e-01,-3.9123499999999999e-02,-1.4591600000000000e-02,2.1231600000000000e-01,6.8334300000000001e-02,3.2267799999999999e-02,-1.1885600000000000e-02,-9.1077599999999997e-04,8.0521800000000001e-04,4.3879099999999999e-01,2.4924199999999999e-01,1.8197700000000000e-01,5.5037300000000000e-01,1.0536000000000001e+00,1.4361500000000000e+00,3.4394400000000003e-01,3.6261800000000000e-01,4.4599600000000000e-01,8.5257400000000005e-01,7.0615899999999998e-01,6.0545800000000005e-01,9.9164400000000000e-02,9.6440499999999998e-02,9.2634300000000003e-02,7.9330599999999996e-01,6.8898599999999999e-01,6.4078000000000002e-01,8.3560899999999994e-02,4.9389700000000002e-02,3.9435400000000002e-02
3.0000000000000000e+00,3.4599999999999997e-01,1.1000000000000001e+00,1.1000000000000001e+00,-1.3871600000000000e-02,-3.2864699999999997e-02,-1.2785200000000000e-02,6.4793299999999998e-02,5.8797200000000001e-02,2.7623200000000001e-02,-3.9840400000000003e-03,-4.8045300000000004e-03,-1.0851500000000000e-02,1.7172899999999999e-01,2.2081600000000001e-01,1.5964100000000001e-01,1.1227400000000000e-01,4.4915400000000000e-01,6.9542800000000005e-01,2.4393899999999999e-01,3.0200800000000000e-01,3.4989300000000001e-01,9.7202400000000000e-01,8.8169399999999998e-01,8.1100499999999998e-01,6.7964100000000000e-02,8.7364499999999998e-02,9.9313600000000002e-02,9.5113800000000004e-01,8.2226900000000003e-01,7.5745700000000005e-01,8.3546599999999999e-02,8.1300899999999995e-02,6.4764000000000002e-02
4.0000000000000000e+00,2.0549999999999999e-01,5.0000000000000000e-01,1.1000000000000001e+00,-3.5338300000000003e-02,-3.7765500000000000e-02,-1.2054300000000000e-02,1.1534200000000000e-01,6.3639899999999999e-02,2.4138300000000001e-02,1.0065299999999999e-02,1.0659999999999999e-02,-7.9150899999999996e-03,2.6815099999999997e-01,2.2464500000000001e-01,1.5558500000000000e-01,1.7034900000000000e-01,5.4815800000000003e-01,7.8244300000000000e-01,2.8125200000000000e-01,2.9973300000000003e-01,2.5514100000000001e-01,9.6125200000000000e-01,8.5335399999999995e-01,7.8363899999999997e-01,8.2094299999999995e-02,8.7581800000000001e-02,7.4285199999999996e-02,9.2753399999999997e-01,7.9180799999999996e-01,7.3308200000000001e-01,9.3913499999999997e-02,7.1071400000000007e-02,4.5439300000000002e-02
5.0000000000000000e+00,2.0549999999999999e-01,1.7000000000000000e+00,1.1000000000000001e+00,-9.5068899999999998e-02,-3.1109999999999999e-02,-1.0520399999999999e-02,1.7185600000000001e-01,5.7902500000000003e-02,2.7539100000000000e-02,-1.3102400000000000e-02,-1.7537199999999999e-02,-2.4537500000000000e-02,4.0559200000000001e-01,2.2215699999999999e-01,1.7560600000000001e-01,5.4704100000000000e-01,9.6401800000000004e-01,1.3545400000000001e+00,4.0206799999999998e-01,3.3596100000000001e-01,5.4450399999999999e-01,8.5287199999999996e-01,7.3116199999999998e-01,6.3040700000000005e-01,1.1488100000000000e-01,9.3937999999999994e-02,1.0995800000000000e-01,8.0155399999999999e-01,7.0300799999999997e-01,6.5257100000000001e-01,1.0047000000000000e-01,5.1263400000000001e-02,4.8453700000000002e-02
6.0000000000000000e+00,2.0549999999999999e-01,1.1000000000000001e+00,5.0000000000000000e-01,-7.7516699999999994e-02,-3.3909700000000001e-02,-1.2588200000000001e-02,1.6729900000000000e-01,5.7815499999999999e-02,2.9229499999999999e-02,-8.8035000000000006e-03,-1.8937200000000001e-02,-2.6430800000000001e-02,3.6221100000000001e-01,2.3135600000000001e-01,1.6662299999999999e-01,4.4369399999999998e-01,8.6842799999999998e-01,1.1793300000000000e+00,3.9089200000000002e-01,3.5277100000000000e-01,4.0053499999999997e-01,8.8202300000000000e-01,7.5967700000000005e-01,6.7247999999999997e-01,1.1136100000000000e-01,9.9005099999999999e-02,9.7112000000000004e-02,8.3361900000000000e-01,7.2072300000000000e-01,6.7168899999999998e-01,1.0862400000000000e-01,5.6909800000000003e-02,4.3552899999999999e-02
7.0000000000000000e+00,2.0549999999999999e-01,1.1000000000000001e+00,1.7000000000000000e+00,-6.9632799999999995e-02,-3.2346100000000003e-02,-1.0561700000000000e-02,1.6830000000000001e-01,6.3189300000000004e-02,2.8960000000000000e-02,-1.7775099999999999e-02,-2.4221899999999998e-03,-3.0407899999999998e-03,3.6342500000000000e-01,2.2771900000000000e-01,1.5964500000000001e-01,4.0667700000000001e-01,8.5462800000000005e-01,1.1464399999999999e+00,3.9743899999999999e-01,3.7558300000000000e-01,3.7498500000000001e-01,8.9218500000000001e-01,7.6413200000000003e-01,6.8064400000000003e-01,1.1280300000000000e-01,1.0484700000000000e-01,9.3528600000000003e-02,8.4754700000000005e-01,7.2497400000000001e-01,6.7567100000000002e-01,1.1364700000000000e-01,6.2506999999999993e-02,4.2775100000000003e-02
8.0000000000000000e+00,1.0615149700000000e-01,1.1000000000000001e+00,1.1000000000000001e+00,-9.6374799999999997e-02,-3.7181499999999999e-02,-1.1601500000000001e-02,2.1092000000000000e-01,6.5359299999999995e-02,2.8207900000000001e-02,1.4215000000000000e-02,-1.1377099999999999e-02,-2.1144300000000001e-02,3.9998200000000000e-01,2.4456900000000001e-01,1.7019799999999999e-01,4.9355300000000002e-01,1.0374500000000000e+00,1.4534400000000001e+00,3.8306400000000002e-01,3.7257800000000002e-01,5.2394900000000000e-01,8.6807100000000004e-01,7.1112399999999998e-01,6.0355199999999998e-01,1.0958000000000000e-01,1.0004200000000001e-01,9.9634299999999995e-02,8.1582900000000003e-01,6.9208400000000003e-01,6.4022900000000005e-01,1.0260800000000000e-01,5.1306999999999998e-02,4.2121300000000000e-02
9.0000000000000000e+00,3.0484850299999999e-01,1.1000000000000001e+00,1.1000000000000001e+00,-2.5608800000000001e-02,-4.1093600000000001e-02,-1.2811700000000001e-02,8.7388599999999997e-02,6.7011399999999999e-02,2.9006400000000002e-02,1.6054499999999999e-02,4.8767699999999999e-03,-1.7748400000000001e-02,2.1705800000000000e-01,2.3048800000000000e-01,1.6009799999999999e-01,1.7995100000000000e-01,5.7581099999999996e-01,8.8255499999999998e-01,3.1555299999999997e-01,3.3823500000000001e-01,3.6225299999999999e-01,9.5394100000000004e-01,8.4512500000000002e-01,7.5596200000000002e-01,8.8549400000000000e-02,9.7910200000000003e-02,9.9215499999999998e-02,9.2767299999999997e-01,7.8758799999999995e-01,7.1872899999999995e-01,1.0064200000000000e-01,7.8408300000000000e-02,5.5652100000000003e-02
1.0000000000000000e+01,6.5000000000000002e-02,5.0000000000000000e-01,1.1000000000000001e+00,-9.9539500000000003e-02,-3.6210500000000000e-02,-1.2061300000000000e-02,2.2028300000000001e-01,6.3851199999999997e-02,3.4745300000000000e-02,1.0453300000000000e-02,5.8268399999999998e-03,-6.4056900000000003e-03,4.3815900000000002e-01,2.3329200000000000e-01,1.8205600000000000e-01,5.4328100000000001e-01,1.0162100000000001e+00,1.4930500000000000e+00,3.6939800000000000e-01,3.3466600000000002e-01,5.9927600000000003e-01,8.5405399999999998e-01,7.1602399999999999e-01,5.9741800000000000e-01,1.0657500000000000e-01,9.2186400000000002e-02,1.1078000000000000e-01,7.9900499999999997e-01,6.9409600000000005e-01,6.3759699999999997e-01,9.4183900000000001e-02,4.8411400000000000e-02,4.6924100000000003e-02
