Run,ISC,IS,n,RS,RP,Pmax,dISC,dIS,dn,dRS,dRP
1.0000000000000000e+00,1.3827514449246153e-01,4.3977348426254325e-08,1.2135193952809580e+00,4.7814634064788958e-01,2.7340620697177138e+02,4.1379089340785567e-02,2.4899088874041908e-02,-1.7557004405865939e-02,1.9879392083865799e-02,-3.7558192875208896e-03,1.7094847759580034e-04
2.0000000000000000e+00,6.0162010764345887e-02,5.0767246520796025e-11,1.9797899801684886e+00,1.8041407195852679e-01,1.5665845207059726e+02,4.6348839358882413e-02,7.9624370437347824e-02,-1.0812335672627515e-02,1.0537707484381542e-02,-5.8458191759536149e-04,4.5303337123381304e-03
3.0000000000000000e+00,9.9329833597714662e-02,1.4720965879134399e-10,1.7322528469225995e+00,4.0314992238227954e-01,1.4137687824906089e+02,6.5609879639482657e-02,6.3322812604571510e-02,-1.7186527728751955e-02,1.8744563567985040e-02,-1.8444024502128897e-03,3.6315480761439645e-03
4.0000000000000000e+00,1.2962625373351239e-01,3.2762931924430975e-08,1.4717567548612065e+00,4.1330311534026754e-01,2.0370153221324873e+02,5.0454912308436219e-02,3.4724997668988955e-02,-1.9923457231230124e-02,1.8730442724601559e-02,-3.3121671377811523e-03,5.5990000136230123e-04
5.0000000000000000e+00,1.9004663821807299e-01,1.1731374300290558e-08,1.6531621914404631e+00,3.2908289867401763e-01,2.2284696163959649e+02,9.3302885777723124e-02,4.3504759003609728e-02,-3.3349853253983319e-02,3.0795143254880308e-02,-7.3322688337595920e-03,7.3202888195567084e-04
6.0000000000000000e+00,1.9772762630891136e-01,1.6687259533820777e-09,1.2233680656119004e+00,3.7447092232922186e-01,3.3153084227954849e+02,7.8984037622588418e-02,3.3133405713536845e-02,-2.6049385329351971e-02,3.7070729722032958e-02,-8.1218057695897627e-03,2.0264830091765162e-04
7.0000000000000000e+00,1.0314100311072619e-01,8.5801957891514134e-08,1.9591638495457788e+00,2.4698648128829540e-01,2.4373592231004071e+02,5.1378775599342258e-02,4.7975686139067886e-02,-2.0902218983431808e-02,1.3326660261436807e-02,-2.0709914200223167e-03,6.9910272015860642e-04
8.0000000000000000e+00,6.6268636852629417e-02,9.4741921874136204e-10,1.2568562433272192e+00,1.7884670951873533e-01,1.1379724672173484e+02,2.7997176941992979e-02,4.2246783894112072e-02,-8.0614621332519842e-03,1.0575047539040927e-02,-7.8043924447990243e-04,2.4396926180669798e-03
9.0000000000000000e+00,2.3100415926276399e-01,9.4758094246767717e-09,1.9942264834761927e+00,5.2343004879261001e-01,1.9320508995998790e+02,1.3242850090976682e-01,4.7587696977435812e-02,-4.8403134583763219e-02,3.8362494375610012e-02,-1.0618197654466144e-02,1.2437181562408028e-03
1.0000000000000000e+01,1.5521186380568122e-01,1.5000316398980509e-07,1.8432607102694454e+00,4.2519216924163361e-01,3.5473929288527705e+02,6.7513483096791144e-02,3.8496194523784943e-02,-2.9974363977003371e-02,2.0352095869702325e-02,-4.7470819497519301e-03,2.2951349154531897e-04
1.1000000000000000e+01,8.8718198273186888e-02,3.5457176615085230e-10,1.5846644790811997e+00,2.9926870832484542e-01,2.1025724220212260e+02,5.2111971613254274e-02,5.6015298968703497e-02,-1.4552872927564575e-02,1.6428905361132173e-02,-1.5536445255315279e-03,1.2760178330628591e-03
1.2000000000000000e+01,1.2507372084230059e-01,1.7452025637260233e-08,1.7760957811510369e+00,3.7266757306958243e-01,1.9751826421722254e+02,6.3220346917710710e-02,4.6762110697540216e-02,-2.3108640639923905e-02,1.8680784960589669e-02,-3.0794691102675742e-03,1.0427335661589154e-03
1.3000000000000000e+01,1.0977575691981181e-01,2.2388848727175483e-08,1.2795465580498036e+00,2.4995411980143561e-01,3.3306452200831313e+02,3.9769476716615682e-02,3.3551671184406384e-02,-1.4952624985409280e-02,1.6329725148478413e-02,-2.4574297458057615e-03,1.8717898758735529e-04
1.4000000000000000e+01,1.6423536914615128e-01,1.2160342253057055e-10,1.2477724720208814e+00,2.8834791202573545e-01,3.1807566442901350e+02,8.2420040155720201e-02,4.4553599892749318e-02,-2.2323615511687933e-02,3.5359133856993630e-02,-5.7559716576394138e-03,3.6927842728129434e-04
1.5000000000000000e+01,1.7504539372796948e-01,4.1299255702893109e-09,1.0760300566606760e+00,5.4443809202168980e-01,1.9225375918978153e+02,5.2524351478075187e-02,2.2614216159400069e-02,-1.9730510968096748e-02,3.0329830473518893e-02,-6.0336469917543489e-03,3.1120042653931534e-04
1.6000000000000000e+01,8.1255534158941725e-02,3.8625396917644152e-11,1.6322409427715758e+00,5.8409714685045944e-01,3.1211222343566880e+02,5.4726735662030429e-02,6.2178564318171592e-02,-1.3965278156113925e-02,1.7230658407030308e-02,-1.3401931231449282e-03,7.2838361730998002e-04
1.7000000000000000e+01,6.5516412945464106e-02,1.1900056765836205e-08,1.6555864187389453e+00,4.0442624681750017e-01,1.0738223481051205e+02,2.9413091956510005e-02,4.5067927240821648e-02,-1.0114808178529611e-02,8.5035552557788385e-03,-7.1412414176519334e-04,3.1619463297660744e-03
