"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
4.17119748101247e-05 2.38357098244432e-05 8.31329813281274e-06 9.97506354900508e-07 7.20923414798815e-06 1.85477779648963e-05 3.58610506723812e-05 5.26915978203018e-05 6.19165688323909e-05 6.55286327043784e-05 6.67205147712201e-05 6.62698228561316e-05 6.52955450725018e-05 6.17528191000583e-05
3.47122874109264e-05 2.12492256628635e-05 9.95366571644094e-06 1.2605504320478e-06 5.60876418472819e-06 1.2402248785354e-05 2.28361854976474e-05 3.40894016140694e-05 4.19696651416263e-05 4.92912534781318e-05 5.39673674393568e-05 5.70516556172443e-05 5.65508636081978e-05 5.25424447049427e-05
3.83900868192723e-05 2.3724743418744e-05 1.14316688569787e-05 1.49798709205124e-06 5.86583941429108e-06 1.21781272324052e-05 2.17900194260285e-05 3.11124544818463e-05 3.93753810017201e-05 4.89740232541286e-05 5.6218946742188e-05 6.25317946474504e-05 6.40577507159609e-05 5.96071234899799e-05
4.05648496149548e-05 2.718852047123e-05 1.4256694630435e-05 1.80710628579322e-06 6.12437776585271e-06 1.1560386340737e-05 1.96546200716704e-05 2.84076157305043e-05 3.58305074429742e-05 4.27537040846643e-05 4.8084129390987e-05 5.2411517847016e-05 5.438838281182e-05 5.26131095619606e-05
4.478590951489e-05 2.92123636280276e-05 1.47636596883009e-05 1.75574999193491e-06 6.51195004031321e-06 1.38725517874718e-05 2.30629612213955e-05 3.42972690945556e-05 4.38946090610298e-05 5.32556896206706e-05 6.03506853068553e-05 6.5009235194203e-05 6.65265686805591e-05 6.25100266570111e-05
1.66795707007373e-05 8.52788088408622e-06 3.14417246309445e-06 4.14758670657082e-07 2.15503264838754e-06 5.00619078809856e-06 9.29673540145217e-06 1.52066325323613e-05 2.161710195364e-05 2.90126765532466e-05 3.35008070746658e-05 3.64322531940094e-05 3.62723121978636e-05 3.16162425893245e-05
6.2961709748836e-05 3.78910048255165e-05 1.63486223473519e-05 1.95192806226513e-06 8.08167470287991e-06 2.04408862611139e-05 3.67622711689207e-05 5.53044014816024e-05 7.02874666000894e-05 8.26978414127519e-05 9.17120591921277e-05 9.75235671974703e-05 9.85932732300305e-05 9.23322998613126e-05
2.94813208528443e-05 1.6903029470961e-05 7.67915908927771e-06 9.86980046029482e-07 5.04072497672262e-06 1.0523691399472e-05 1.91778300137466e-05 2.79033380349006e-05 3.53100177626957e-05 4.51161059847403e-05 5.16383315892344e-05 5.54904234887611e-05 5.53274675828216e-05 4.98475089904946e-05
4.22531913749986e-05 2.62494581814643e-05 1.17651636120246e-05 1.50087417004037e-06 7.10061442273361e-06 1.71388758118605e-05 3.10738826599672e-05 4.47025828598013e-05 5.41084910454677e-05 6.0393030689533e-05 6.35447561477532e-05 6.51234898949954e-05 6.38384634316299e-05 5.99522603716347e-05
4.23354666127362e-05 2.70048421650471e-05 1.2492356290423e-05 1.59814735527438e-06 7.33939625389386e-06 1.61464441344095e-05 2.85112216241768e-05 3.93696340930675e-05 4.7152015213474e-05 5.35832957331115e-05 5.7468763456426e-05 6.00123430037156e-05 6.04440060327188e-05 5.73696751081939e-05
5.14279426262296e-05 3.31448054061429e-05 1.61278752869375e-05 1.88612919965621e-06 7.43958731377758e-06 1.60034134468915e-05 2.79570717847525e-05 3.95995597883978e-05 4.96802961774922e-05 5.8650939536487e-05 6.50032282915422e-05 7.00702817477099e-05 7.15818658967337e-05 6.87437027009515e-05
3.48517727827345e-05 2.02983562326489e-05 8.21762800440855e-06 1.01696036962169e-06 5.24845900311082e-06 1.11856259746888e-05 1.90971111299773e-05 2.94257197168349e-05 3.79550076290967e-05 4.80397145632407e-05 5.39545868212762e-05 5.7024128924867e-05 5.71387005573018e-05 5.2116222802174e-05
2.73979944786773e-05 1.71257148878328e-05 8.01677072869673e-06 9.95996390517504e-07 4.50543685753969e-06 9.66465328934059e-06 1.72366209826207e-05 2.48442819736501e-05 3.1098633073691e-05 3.66543440741588e-05 4.05979912650641e-05 4.36852063919806e-05 4.42745185375735e-05 4.11157575066325e-05
3.74636509151899e-05 2.39518982132056e-05 1.16029154073621e-05 1.45523756471795e-06 5.78773639692708e-06 1.15011968817403e-05 2.07438790729939e-05 2.94621628794172e-05 3.70974392937292e-05 4.50287168898917e-05 5.03251445317821e-05 5.42029614028548e-05 5.47590709168852e-05 5.16486246569299e-05
5.13256653966901e-05 3.15326692406477e-05 1.48811379706799e-05 1.8084222213283e-06 7.06005755097816e-06 1.63668582806242e-05 2.91003421549847e-05 4.3290713427112e-05 5.42688758623754e-05 6.47991912845713e-05 7.25684292771492e-05 7.7561746899527e-05 7.87297971672412e-05 7.46161209252119e-05
4.02026833793361e-05 2.60321042077913e-05 1.27872926095618e-05 1.61687559995011e-06 6.72771004210268e-06 1.38829258441709e-05 2.47166070916215e-05 3.50595383209208e-05 4.25372748453922e-05 4.90303167936171e-05 5.28210181914502e-05 5.54757755637784e-05 5.61923943169914e-05 5.35937075484776e-05
4.2486620367473e-05 2.60488208720338e-05 1.17357953655749e-05 1.45876815096814e-06 6.44368922633733e-06 1.45506969815884e-05 2.62532300609864e-05 3.85850730683384e-05 4.74160252801612e-05 5.52903887878034e-05 6.11097108348706e-05 6.57676299697116e-05 6.65226386141259e-05 6.23831727924653e-05
3.81180754568867e-05 2.12971782622569e-05 7.65167999456363e-06 8.73938902605449e-07 4.88371792171028e-06 1.14128050280062e-05 2.31587738650473e-05 3.54564017764518e-05 4.5844408112556e-05 5.5221895774811e-05 6.20756517172744e-05 6.67282509121255e-05 6.67540661583716e-05 6.18426734901201e-05
7.06749039275694e-05 4.09459113663556e-05 1.69549104576856e-05 1.80521338580363e-06 8.68520186672092e-06 2.49015058855571e-05 4.46981193862056e-05 6.86384106903958e-05 8.66765644954952e-05 0.000101458018742793 0.000112028555838453 0.00011938414003635 0.000117343017951496 0.000109862491363957
1.17779120020098e-05 6.74258995543018e-06 2.81417237265233e-06 3.57190012587957e-07 1.75772727805416e-06 4.05307262728883e-06 8.35772964946511e-06 1.35609777713061e-05 1.81213328794642e-05 2.22905477451085e-05 2.44812534191016e-05 2.52029122669145e-05 2.39331319372078e-05 2.07536435577767e-05
4.57962864914131e-05 3.04574671586599e-05 1.46535764936844e-05 1.74323639111629e-06 7.86295320726557e-06 1.85774648237059e-05 3.06685557939551e-05 4.23687150176322e-05 5.06049781424775e-05 5.63469136464479e-05 5.93181090259626e-05 6.09807286431336e-05 6.13688289809073e-05 5.90401806750469e-05
3.87518851388666e-05 2.06594992517091e-05 7.68150560176945e-06 8.98886641785938e-07 4.91546249547035e-06 1.15584986476172e-05 2.10839675419491e-05 3.4043518794199e-05 4.71275675812735e-05 6.1124215605149e-05 7.17588745940268e-05 7.77867948615701e-05 7.86850508271957e-05 7.15337958010611e-05
2.63563381554934e-05 1.59196842841505e-05 6.52883683876595e-06 8.38027938263383e-07 4.01640837086735e-06 8.50825702209191e-06 1.56846547606032e-05 2.45241835781084e-05 3.29187373983316e-05 4.01649923155829e-05 4.46671117519082e-05 4.77941026878587e-05 4.739621087593e-05 4.27531002930722e-05
5.87564661683413e-05 3.08194404243816e-05 1.01537025251207e-05 1.1123990961805e-06 7.32500924567722e-06 2.13009379654034e-05 4.30964334895035e-05 6.66609143684293e-05 8.24027285446056e-05 9.47012671646152e-05 0.000103675914231489 0.000109706421219465 0.000107238331961146 9.91747496928595e-05
1.72400640376739e-05 1.09020684085486e-05 5.24305890529509e-06 6.65261148656545e-07 2.75772722344497e-06 5.59225031648247e-06 1.05666122128201e-05 1.63741873656654e-05 2.11415301668072e-05 2.53036813222004e-05 2.77281012848918e-05 2.91276709635352e-05 2.86969261998738e-05 2.6190212493818e-05
4.31981730181235e-05 2.56278099622247e-05 1.18282645115309e-05 1.52922785375972e-06 6.27101060452063e-06 1.3164447192199e-05 2.40576619837725e-05 3.56691562041985e-05 4.49041275872277e-05 5.61668540045322e-05 6.44217378505923e-05 7.15244193222568e-05 7.39218590355077e-05 6.8804089170575e-05
4.27380408451561e-05 2.67219991648689e-05 1.26856456963736e-05 1.58843163419285e-06 6.3607867286374e-06 1.36015476214786e-05 2.5087537717586e-05 3.64685084592631e-05 4.49008330982231e-05 5.34413645374448e-05 5.91807793675908e-05 6.30814720541313e-05 6.42387402520045e-05 6.06754416500087e-05
5.92736938301168e-05 3.75977791173569e-05 1.67651341073116e-05 1.92468279790027e-06 9.09212680437807e-06 2.34893164782897e-05 4.04322761253693e-05 5.93359557015641e-05 7.15606076845901e-05 7.93488216252803e-05 8.33971364247443e-05 8.49219955650442e-05 8.35893343742335e-05 7.95657973141817e-05
4.88727887027962e-05 2.60448398951213e-05 9.92763986671179e-06 1.19477668716469e-06 6.19496219885254e-06 1.43248933672185e-05 2.72172385212236e-05 4.01635351460792e-05 5.49808768781491e-05 6.91357045713696e-05 8.15079788555177e-05 9.0207165849413e-05 8.98144133655638e-05 8.16929265120524e-05
6.22221760915806e-05 3.77019919532202e-05 1.70879987776038e-05 1.9940437971275e-06 7.92618269007487e-06 2.08859392890015e-05 3.66361940591305e-05 5.48389737009289e-05 6.88758544714224e-05 8.06727360919211e-05 8.8870970265151e-05 9.40622017214894e-05 9.49948797750368e-05 8.92698032216557e-05
1.83732483312799e-05 1.10624640091864e-05 4.96967781705218e-06 6.62056867556869e-07 2.92214753316065e-06 6.13456454485474e-06 1.15515685077064e-05 1.78658765578042e-05 2.41532547351821e-05 2.87317479172096e-05 3.22202880405517e-05 3.37582788737718e-05 3.29596000058953e-05 2.94958222882061e-05
1.92665647168753e-05 1.33490426748374e-05 7.28409660539721e-06 9.47107915725258e-07 3.53891489460577e-06 6.9209989602506e-06 1.19881987464924e-05 1.66513491658317e-05 2.08229996435047e-05 2.51714140428429e-05 2.84804421502263e-05 3.13887189414777e-05 3.14927065453363e-05 2.8941299148861e-05
2.68549333459834e-05 1.71123298496431e-05 7.22995234070517e-06 8.95145868147016e-07 4.65168451647732e-06 9.57739539761666e-06 1.85919550216391e-05 2.62840176362618e-05 3.24458309036275e-05 3.73147261867327e-05 4.00393121807561e-05 4.19415353441951e-05 4.14377259682761e-05 3.86068934599385e-05
5.52820505907058e-05 3.3445098411544e-05 1.5217888944003e-05 1.74445967184982e-06 7.27524928902551e-06 1.70747451045594e-05 3.0367063308937e-05 4.40313455659263e-05 5.61975494115329e-05 6.76696759207387e-05 7.53798627679867e-05 8.06350333064456e-05 8.22636115995781e-05 7.81650745536837e-05
