"September" "October" "November" "December" "January" "February" "March" "April" "May" "June" "July" "August"
4962.94930901211 4344.19821117042 3543.47253764071 3441.41358240029 2155.01793496375 2716.47608542296 2028.63513395973 2404.03191949398 2352.72755716901 3171.89865731258 4070.65995136061 3253.54010940461
5818.54877220328 5673.55655731896 5514.4744571598 5525.22553508271 4704.04730732715 4707.4348966852 4430.95307136403 4707.26477686658 4664.99212640145 5196.78371811263 5698.92402930571 5281.63902524305
4963.06000477895 4720.14144050898 4507.22046786128 4468.91137417648 3773.15482067245 3804.38699716535 3619.02769519481 3822.45666391437 3898.65838138633 4417.90220923208 4916.08434320384 4511.79361008798
3999.51922458605 3978.49633444673 3947.95888652874 3939.40925147109 3657.19786231028 3608.46413449535 3560.46037138304 3646.84614663733 3647.67317576888 3817.99779992146 3974.15391362524 3864.67943069156
3720.79806467134 3744.95420945944 3748.65896094346 3769.08105135779 3514.53428601482 3454.90943609959 3378.63323131223 3477.08331693283 3417.7704084932 3548.56761689468 3673.16616770666 3584.25868049825
19286.5934018536 18206.3691490092 16836.2268431116 16680.8280766533 12766.1494784887 13661.0041771771 12392.3010188704 13575.6606657049 13728.3346050797 16307.6545595399 18526.9098044155 16373.0031349428
2593.68243864283 2533.20840796626 2463.42064145572 2494.47545198399 2006.90485287557 2042.6317153387 1840.63427105812 2017.54086389037 1910.23248465732 2220.19653111282 2485.79955301359 2251.68790814679
7822.43094793539 7131.70739117366 6531.13310055248 6377.78036966869 5085.7855969314 5308.75413279164 4988.33304444295 5320.0402218408 5658.32517179678 6729.19361676203 7796.34440169082 6886.96804410986
4707.34846757466 4356.24488728803 4079.02480188663 4045.18854933948 3275.14508857449 3348.15270537609 3105.36347252556 3336.32674949788 3414.88425145736 4035.95605203433 4662.17694063248 4141.4660839
4093.70401242859 3517.71765190828 3045.6436120608 2904.63783656433 2193.89602909845 2357.38448696139 2184.59887550278 2348.25686204913 2615.18713675822 3348.48097359319 4152.11996532156 3465.4007911069
3127.97910538375 3071.00016146858 3002.37904299232 2992.39142404503 2622.10438692171 2608.08868032647 2505.79076170366 2624.71409710443 2610.15176979214 2853.93833373945 3080.10149215156 2904.24714894012
6782.07025324093 5689.71897783905 4769.67230258695 4442.98483001143 3162.97755931686 3656.57412859618 3396.76855900822 3626.11638226025 4125.74744821168 5365.10755076136 6648.67790554862 5506.11356481584
7355.49421541779 7163.18754124948 6947.38793032963 6970.14450501832 5886.88750091197 5920.05049544009 5551.72548336723 5915.00509521026 5868.53404954667 6558.71048055514 7204.96893606403 6654.97078070384
4590.84868785591 4602.79812977508 3908.33715282084 3663.2809195858 2791.0076439047 3041.94350404144 2731.10342687661 2870.68465169129 3046.29757629706 3659.31953874061 4238.24537283185 3744.66272307438
3599.87203045465 3576.57505043405 3529.03896601008 3538.97783084432 3128.17624581774 3094.80652635092 2954.80739424142 3102.01579219072 3039.9829800444 3288.91601797203 3524.32144389207 3346.54941948875
4439.50051748804 4271.53188926896 4118.28669784344 4078.68668626181 3526.14531407184 3524.30777345164 3388.23086998827 3548.95126665145 3606.59252950746 4014.66784687981 4405.29223803395 4101.46207497633
3982.16905828626 3856.28545346801 3452.21121275116 3372.07755446287 2593.23896035377 2731.58402678623 2459.41368447937 2694.54514077885 2729.39281891106 3308.06513775152 3854.03722612467 3344.02881103748
6331.95301675999 6080.07635005757 5859.80613666524 6062.77153785239 4526.69924381261 4821.67272271522 4125.37684375582 4668.6985144582 4381.51486169738 5287.57292087477 5968.44360879911 5183.80722850006
2230.03344724389 2127.47430004108 2017.27849866754 2046.1234965567 1503.29451362494 1604.46950884303 1368.07314527137 1559.00554661361 1445.96020683939 1812.55115627054 2139.08278998106 1884.36999480987
23156.8798207843 21449.1331082175 19741.507986754 19107.8095164693 14984.4998981673 15879.6351881848 15295.4012288495 16260.5383798273 16802.7561887459 19744.4048644788 22550.4793681971 20122.6669299654
3599.72143560925 3377.71049251256 3251.3921923716 3249.13171307545 2737.8294642634 2745.88360626569 2572.50685140226 2740.39840209023 2725.96458801494 3101.72512567211 3482.11524541551 3170.41175839026
5580.62860527745 5482.30584650353 4831.56961485355 4653.51756105502 3190.31526639316 3741.54946849128 3259.8686473715 3621.5369494531 3683.73146706397 4617.42100460459 5203.79337886242 4473.84476078025
7915.81653610621 6961.81955624983 6086.91190455456 5899.98397247494 4253.29945918038 4768.61848500994 4425.2034201673 4806.05223392215 5101.22349568768 6461.63539810247 7755.97604413616 6508.05043692585
3251.20836267067 3139.25305365433 2821.72857717786 2876.46583726982 1848.47301007656 2199.28799562151 1717.94702699502 2055.44100496282 1867.02632839482 2520.82180576019 3014.23507180458 2562.1476995049
12661.0288449322 12060.7707022065 11455.9697444198 11234.570770363 9626.94738587673 9791.42305620218 9553.13056039553 9951.65858747387 10348.3937152747 11525.3798506596 12655.6609175012 11742.2782285455
4650.16740714809 4549.29819552972 4435.43142060948 4456.44306039802 3779.47438255347 3786.35900080358 3548.0523531571 3779.40567004214 3714.85616006084 4142.88687392356 4538.91422830048 4206.87555420013
4378.86080681081 4281.47770446536 4182.59224950617 4185.98424582331 3634.78654530138 3612.54003169048 3434.86482825759 3621.06264330437 3590.00315600672 3956.73734120703 4306.09351443132 4030.22680929734
2632.2242928977 2272.27980869551 1993.45484124758 1926.19525936703 1433.72277390794 1535.81952746641 1385.29184846617 1519.50714131281 1613.20788119083 2113.51423070038 2652.29468135487 2199.80095093219
4749.08950514082 4361.56937488873 3910.02123299653 3860.29980475592 2775.12422441628 3099.54429810801 2699.008565483 3000.9772541555 3061.66814176677 3836.27877368045 4470.46640091824 3845.22863448699
2482.8032630712 2471.88826364346 2323.09192136955 2317.56646267284 1849.21759437571 1887.54215566089 1702.4240248215 1864.68087383824 1794.67165240571 2110.37351465341 2396.78337275949 2148.40142633721
13154.5190907574 12134.3716006176 11170.9929434922 10824.9410517622 8825.49505069201 9202.96152559522 8868.01615197158 9340.89722238499 9943.9095624721 11565.5687457554 13156.129591271 11824.9125799995
10078.6277592187 9886.82100015276 9592.59085479812 9345.47064871208 8315.89133097789 8173.18699882416 8099.04707200307 8277.63873951193 8761.61148609083 9499.92740944315 10146.3914472688 9780.37874589377
7453.65368023285 7117.38990719748 6815.63634459527 6931.03063480207 5448.46601723178 5633.87335688966 5033.88688919118 5549.92770350042 5403.80002853349 6358.67612938431 7200.04430861817 6376.79505172983
