"September" "October" "November" "December" "January" "February" "March" "April" "May" "June" "July" "August"
3.05276479169505e-05 1.77360533174229e-05 1.11441253138889e-05 4.37012408213188e-06 3.00852934636766e-06 6.37107747216632e-06 2.26973169232711e-05 1.94312584276648e-05 4.06674207423042e-05 4.78122063057412e-05 4.56110074476512e-05 3.95661954346433e-05
3.00783433529633e-05 1.57060317457634e-05 7.30245452154135e-06 2.66019227072391e-06 1.6276915554342e-06 3.80010232321848e-06 1.26829495000962e-05 1.04298924291036e-05 2.32839318353576e-05 3.25547609782604e-05 4.02707242570379e-05 3.18647919791515e-05
3.14700719632015e-05 1.68709142634427e-05 7.61264169500009e-06 2.63067481499192e-06 1.52702735112335e-06 3.79031205507821e-06 1.17915774253506e-05 1.00598983689846e-05 2.32388728788447e-05 3.35686852118084e-05 4.53896030557835e-05 3.15178311868142e-05
3.54956107699025e-05 1.88224988821566e-05 7.73413066661821e-06 2.4783027490173e-06 1.15658823371581e-06 3.10819584154056e-06 8.858555592333e-06 7.22574169925891e-06 1.8626521824543e-05 2.90133390716664e-05 4.1222088030184e-05 3.09486425518301e-05
4.19585753601118e-05 2.1383257241528e-05 9.06713653032035e-06 3.00394871617673e-06 1.523986083942e-06 3.85591310098056e-06 1.0950866327267e-05 8.5800604997066e-06 2.15921898286833e-05 3.41361793994503e-05 4.86804820912084e-05 3.77654966190017e-05
1.38609279672399e-05 6.41592517240021e-06 2.6639388343659e-06 9.36562874578778e-07 6.34008092377984e-07 1.52682220692206e-06 4.90222272880844e-06 3.77413021073436e-06 1.10836762785933e-05 1.62644727385711e-05 2.39751537646974e-05 1.73762240645774e-05
5.64896003120634e-05 3.03823753829214e-05 1.37616114392106e-05 4.90823394260966e-06 2.7930326094479e-06 6.57824627603744e-06 2.08924112160194e-05 1.85483459330766e-05 4.52211379090992e-05 5.8116052803772e-05 6.88121693398609e-05 5.21108057030244e-05
2.52530262170963e-05 1.2664666997221e-05 6.31844962994873e-06 2.46748065299164e-06 1.58080565123947e-06 3.59158268755598e-06 1.20316280800787e-05 1.00663512322504e-05 2.03271164610214e-05 2.83248471601701e-05 3.77681184477223e-05 2.88685987172161e-05
3.52814096697332e-05 2.00466112104506e-05 1.00898937175895e-05 3.71750421663735e-06 2.32555718554606e-06 5.64544306406749e-06 1.91622833458883e-05 1.68057781110426e-05 3.40476397819147e-05 4.26927846227786e-05 4.58369320482055e-05 3.77188477225175e-05
3.46562279150487e-05 2.10133256379418e-05 1.07567551694221e-05 4.25817329971269e-06 2.38316942431078e-06 5.81498352365657e-06 1.69642659619752e-05 1.51013454903543e-05 3.06752280491825e-05 3.93596416224871e-05 4.37296169837359e-05 3.48077241271098e-05
4.48909831693019e-05 2.42049424756058e-05 1.02862492628466e-05 3.4709607505516e-06 1.83081026625628e-06 4.5460501745769e-06 1.32710803238837e-05 1.15139870889637e-05 2.84193397934589e-05 4.05226840695586e-05 5.28064974595448e-05 4.07026331200577e-05
2.57714127991433e-05 1.41790295387753e-05 7.01681488363561e-06 2.86633159221089e-06 1.72375453327547e-06 3.80329955042511e-06 1.1828666180655e-05 9.74362032462276e-06 2.48095427272917e-05 3.2153952980196e-05 3.99752974045306e-05 2.86459457993156e-05
2.33941970403158e-05 1.22237908820601e-05 5.48771040457239e-06 1.91280773855791e-06 1.11090284613097e-06 2.83040386021386e-06 9.55946327546946e-06 7.79442420449576e-06 1.79593830958086e-05 2.47259093487228e-05 3.12582153561472e-05 2.43342141371554e-05
3.01425334886605e-05 1.56947738000537e-05 7.27141133946145e-06 2.56267826062415e-06 1.43332314749194e-06 3.29715432573396e-06 1.02957597674827e-05 8.48166040369149e-06 2.13847075789845e-05 3.04382284155566e-05 4.02256488094405e-05 3.01114864864671e-05
4.38525021709768e-05 2.27548564559096e-05 1.00159107507869e-05 3.51230751405723e-06 1.99661042126019e-06 4.70733581570176e-06 1.54063396945232e-05 1.32023267448653e-05 3.13111125830631e-05 4.47974447700898e-05 5.66288839488177e-05 4.17083199805658e-05
3.3929407073359e-05 1.88265953546759e-05 8.6067922395863e-06 3.04495780880494e-06 1.7462254891578e-06 4.28190029149439e-06 1.38297964969823e-05 1.17885704361481e-05 2.55530025658994e-05 3.41593940956838e-05 4.15387650269053e-05 3.30866326875779e-05
3.66523684537572e-05 1.95467907683404e-05 9.39883586241051e-06 3.53464474841808e-06 2.10374335827493e-06 4.70122059668591e-06 1.45159661844362e-05 1.2524586236225e-05 2.80656898923688e-05 3.8459776334291e-05 4.68247983462546e-05 3.64993278594358e-05
2.98812486428237e-05 1.52833782459198e-05 7.01312500889217e-06 2.47586347345074e-06 1.47169938589173e-06 3.69360257349265e-06 1.36628478938926e-05 1.14260472453903e-05 2.9980973349476e-05 3.88185393509451e-05 4.45556801897458e-05 3.29100184369465e-05
6.83775689030298e-05 3.67463494792199e-05 1.69504607229107e-05 6.51134166441782e-06 3.73660110778391e-06 9.15824955575352e-06 2.93995026784797e-05 2.52149627876773e-05 6.19952697418472e-05 7.41783472877002e-05 7.91906686519172e-05 6.02413575559584e-05
1.26074055118635e-05 6.46261726054181e-06 2.53650633659812e-06 8.50774304551671e-07 5.12611494974875e-07 1.49257833325736e-06 4.42881147000558e-06 3.5628257950121e-06 9.0206961881598e-06 1.28577443863085e-05 1.59697405636358e-05 1.35129001578069e-05
