"qe25" "ko25" "kc25" "vcmx25" "ako" "akc" "avcmx" "bp" "mp" "drb" "drs" "ecp" "hv" "ocr" "sv" "wj1" "wj2" "rsmax0" "ppcd" "we1"
0.06 30000 30 33 1.2 2.1 2.4 2000 9 1.37 1.65 4.6 220000 0.21 710 1 2 20000 0.000355 0.5
0.041 41900 49.3 48 1.17 1.91 2.33 4900 9.8 1.349 1.649 5.72 239500 0.319 698 4.5 8 26300 0.0003875 0.488
0.08 36800 31.3 35 1.23 2.26 2.53 5900 7.5 1.347 1.684 4.44 238100 0.617 644 4 10.5 19000 0.0003753 0.456
0.058 37100 41.6 21.3 1.27 2.08 2.45 8900 6.8 1.39 1.604 4.22 222500 0.691 663 4.5 2 18600 0.0003999 0.546
0.06 31500 35.2 63.6 1.22 1.91 2.2 9400 5.8 1.389 1.69 3.84 228400 0.327 640 4.5 2 16200 0.0003832 0.507
0.044 33300 38.7 33.6 1.27 1.98 2.42 1100 5.3 1.33 1.618 5.5 231600 0.305 717 4 10.5 34400 0.0003944 0.49
0.052 44100 38.1 63.7 1.26 2.02 2.25 8700 7.3 1.324 1.607 3.7 219600 0.23 665 1 2 35500 0.0003619 0.504
0.074 31600 32.8 50.9 1.24 2.15 2.23 3400 8.1 1.374 1.69 5.05 241700 0.72 670 4 10.5 29800 0.0003955 0.492
0.076 36000 32.3 55.9 1.13 2.2 2.59 5600 10.8 1.316 1.647 4.43 218900 0.588 702 4 8 33800 0.0003646 0.528
0.042 40700 45.3 43 1.12 2.19 2.39 5900 8.9 1.342 1.684 5.12 230300 0.676 719 1 10.5 37800 0.0003568 0.459
0.078 33900 37.1 29.6 1.23 1.91 2.39 9900 8.5 1.305 1.672 4.87 227300 0.521 728 4 2 28600 0.000382 0.527
0.075 31400 48.9 54.5 1.29 1.99 2.33 3100 7.3 1.31 1.651 3.75 225600 0.66 695 1 10.5 31300 0.0003632 0.52
0.042 45000 35.7 29.3 1.23 1.98 2.37 3800 8 1.308 1.684 4.84 232200 0.439 702 4 10.5 13200 0.0003746 0.457
0.076 39300 41.7 20.2 1.2 2.07 2.48 6000 5.5 1.376 1.691 3.4 227800 0.618 701 1 2 13800 0.000357 0.543
0.058 42400 36.4 36.4 1.28 1.96 2.21 8600 10.9 1.378 1.674 4.35 239800 0.462 695 4.5 2 31100 0.0003964 0.547
0.041 41400 45.3 35 1.22 2.09 2.32 7000 11.2 1.335 1.602 5.73 218400 0.643 702 4 10.5 30500 0.0003762 0.496
0.042 31600 30.7 30.1 1.25 2.3 2.29 5500 7.1 1.349 1.691 4.54 225200 0.349 673 1 10.5 21700 0.0003629 0.504
0.076 40400 25.4 23.4 1.2 1.91 2.56 2600 10 1.358 1.642 5.11 221000 0.207 641 4.5 2 28300 0.0003825 0.512
0.048 44500 39.1 62.2 1.17 2.06 2.42 7200 11.5 1.372 1.656 4.98 228500 0.323 676 1 10.5 26800 0.0003783 0.491
0.053 33900 34.6 49.4 1.23 2.09 2.53 1100 4.2 1.308 1.686 5.39 219200 0.614 670 4.5 8 39200 0.0003586 0.487
0.06 32100 35.4 55.3 1.19 2.13 2.34 8000 10.2 1.339 1.652 5.62 218500 0.376 725 4 8 13600 0.0003606 0.548
0.075 34100 27 38.8 1.27 2.03 2.39 2500 5.6 1.319 1.616 3.99 220400 0.593 681 1 8 24200 0.00036 0.539
0.054 34500 28.5 28.5 1.13 2.28 2.32 2500 5.1 1.386 1.67 4.05 231000 0.742 645 1 2 23600 0.000364 0.463
0.068 38600 38 58.8 1.19 2.09 2.51 2100 10.8 1.307 1.628 3.93 241100 0.181 678 1 2 11300 0.0003589 0.516
0.072 41600 36.8 52 1.11 2.03 2.39 2500 4 1.371 1.606 3.8 233700 0.634 714 4.5 2 21800 0.0003585 0.483
